,Description,Parameters,Return,ApiLevel,ClassDescription,PackageDescription,sensitive data?,shared resource?,sensitive shared resource?,produces sensitive data from shared resource?,writes sensitive data to shared resource?,Source?,Sink?
<android.content.Intent: String getStringArrayExtra(String)>,Retrieve extended data from the intent.,name String : The name of the desired item. |||,"String[] the value of an item previously added with putExtra()
 or null if no String array value was found. |||",1,"An intent is an abstract description of an operation to be performed.  It
 can be used with  Context#startActivity(Intent)  to
 launch an  Activity 
  broadcastIntent  to
 send it to any interested  BroadcastReceiver  components
 and  Context.startService(Intent)  or
  Context.bindService(Intent ServiceConnection int)  to communicate with a
 background  Service .

  An Intent provides a facility for performing late runtime binding between the code in
 different applications. Its most significant use is in the launching of activities where it
 can be thought of as the glue between activities. It is basically a passive data structure
 holding an abstract description of an action to be performed.","Contains classes for accessing and publishing data on a device.  It includes three main
 categories of APIs: Content sharing ( android.content ) For sharing content between application components. The most important classes are:
      ContentProvider  and  ContentResolver 
   for managing and publishing persistent data associated with an application. Intent  and  IntentFilter  for delivering
   structured messages between different application components—allowing components to initiate
   other components and return results. Package management ( android.content.pm ) For accessing information about an Android package (an  .apk ) including information
 about its activities permissions services signatures and providers. The most important class for
 accessing this information is  PackageManager . Resource management ( android.content.res ) For retrieving resource data associated with an application such as strings drawables
 media and device configuration details. The most important class for accessing this data is  Resources .",,,,,,,
<android.app.backup.BackupManager: void dataChanged()>,"Notifies the Android backup system that your application wishes to back up
 new changes to its data.  A backup operation using your application's BackupAgent subclass will be scheduled when you
 call this method.",,void,8,"The interface through which an application interacts with the Android backup service to
 request backup and restore operations.
 Applications instantiate it using the constructor and issue calls through that instance.
  
 When an application has made changes to data which should be backed up a
 call to  dataChanged()  will notify the backup service. The system
 will then schedule a backup operation to occur in the near future. Repeated
 calls to  dataChanged()  have no further effect until the backup
 operation actually occurs.
  
 A backup or restore operation for your application begins when the system launches the
  BackupAgent  subclass you've declared in your manifest. See the
 documentation for  BackupAgent  for a detailed description
 of how the operation then proceeds.
  
 Several attributes affecting the operation of the backup and restore mechanism
 can be set on the  <application> 
 tag in your application's AndroidManifest.xml file.","Contains high-level classes encapsulating the overall Android application model. An Android application is defined using one or more of Android's four core application
 components. Two such application components are defined in this package:  Activity  and  Service . The other two components are from the  android.content  package:  BroadcastReceiver  and  ContentProvider . An  Activity  is an application component that provides a screen with which
 users can interact in order to do something such as dial the phone take a photo send an email or
 view a map. An activity can start other activities including activities that live in separate
 applications. A  Service  is an application component that can perform
 long-running operations in the background without a user interface. For example a service
 can handle network transactions play music or work with a content provider without the user being
 aware of the work going on. The  Fragment  class is also an important part of an application's
 design—especially when designing for large screen devices such as tablets. A fragment defines
 a distinct part of an activity's behavior including the associated UI. It has its own lifecycle
 that is similar to that of the activity and can exist alongside other fragments that are embedded in
 the activity. While an activity is running you can add and remove fragments and include each
 fragment in a back stack that's managed by the activity—allowing the user to navigate
 backwards through the fragment states without leaving the activity. This package also defines application utilities such as dialogs notifications and the
 action bar. For information about using some the classes in this package see the following
 documents:  Activities   Services   Fragments   Using the Action Bar   Creating Dialogs  and  Notifying the User .",,,,,,,
"<android.graphics.BitmapFactory: Bitmap decodeResource(Resources,int)>",Synonym for decodeResource(android.content.res.Resources int android.graphics.BitmapFactory.Options) with null Options.,"res Resources : The resources object containing the image data |||
id int : The resource id of the image data |||",Bitmap The decoded bitmap or null if the image could not be decoded. |||,1,"Creates Bitmap objects from various sources including files streams
 and byte-arrays.",,,,,,,,
<android.preference.PreferenceFragment: void addPreferencesFromIntent(Intent)>,Adds preferences from activities that match the given Intent .,intent Intent : The Intent to query activities. |||,void,11,"Represents the basic Preference UI building
 block displayed by a  PreferenceActivity  in the form of a
  ListView . This class provides the  View  to be displayed in
 the activity and associates with a  SharedPreferences  to
 store/retrieve the preference data.
  
 When specifying a preference hierarchy in XML each element can point to a
 subclass of  Preference  similar to the view hierarchy and layouts.
  
 This class contains a  key  that will be used as the key into the
  SharedPreferences . It is up to the subclass to decide how to store
 the value.",,,,,,,,
<android.media.RingtoneManager: Uri getValidRingtoneUri(Context)>,"Returns a valid ringtone URI. No guarantees on which it returns. If it
 cannot find one returns null. If it can only find one on external storage and the caller
 doesn't have the Manifest.permission.READ_EXTERNAL_STORAGE permission
 returns null.",context Context : The context to use for querying. |||,Uri A ringtone URI or null if one cannot be found. |||,1,"RingtoneManager provides access to ringtones notification and other types
 of sounds. It manages querying the different media providers and combines the
 results into a single cursor. It also provides a  Ringtone  for each
 ringtone. We generically call these sounds ringtones however the
  TYPE_RINGTONE  refers to the type of sounds that are suitable for the
 phone ringer.
  
 To show a ringtone picker to the user use the
  ACTION_RINGTONE_PICKER  intent to launch the picker as a subactivity.","The Media APIs are used to play and in some cases record media files. This includes
 audio (e.g. play MP3s or other music files ringtones game sound effects or DTMF tones)
 and video (e.g. play a video streamed over the web or from local storage).
  Other special classes in the package offer the ability to detect the faces of people
 in Bitmaps ( FaceDetector ) control audio routing (to the device or a headset)
 and control alerts such as ringtones and phone vibrations ( AudioManager ).",,,,,,,
<android.webkit.WebView: void setWebViewClient(WebViewClient)>,"Sets the WebViewClient that will receive various notifications and
 requests. This will replace the current handler.","client WebViewClient : an implementation of WebViewClient
This value cannot be null . |||",void,1,"A View that displays web pages.

  Basic usage In most cases we recommend using a standard web browser like Chrome to deliver
 content to the user. To learn more about web browsers read the guide on
  
 invoking a browser with an intent .

  WebView objects allow you to display web content as part of your activity layout but
 lack some of the features of fully-developed browsers. A WebView is useful when
 you need increased control over the UI and advanced configuration options that will allow
 you to embed web pages in a specially-designed environment for your app.

  To learn more about WebView and alternatives for serving web content read the
 documentation on
  
 Web-based content .","Provides tools for browsing the web.
  For more information about building apps with web-based content see the
  Web Apps Overview .",,,,,,,
"<android.content.pm.PermissionGroupInfo: void writeToParcel(Parcel,int)>",,"dest Parcel |||
parcelableFlags int |||",void,1,"Information you can retrieve about a particular security permission
 group known to the system.  This corresponds to information collected from the
 AndroidManifest.xml's <permission-group> tags.","Contains classes for accessing and publishing data on a device.  It includes three main
 categories of APIs: Content sharing ( android.content ) For sharing content between application components. The most important classes are:
      ContentProvider  and  ContentResolver 
   for managing and publishing persistent data associated with an application. Intent  and  IntentFilter  for delivering
   structured messages between different application components—allowing components to initiate
   other components and return results. Package management ( android.content.pm ) For accessing information about an Android package (an  .apk ) including information
 about its activities permissions services signatures and providers. The most important class for
 accessing this information is  PackageManager . Resource management ( android.content.res ) For retrieving resource data associated with an application such as strings drawables
 media and device configuration details. The most important class for accessing this data is  Resources .",,,,,,,
"<android.content.ContentResolver: void setIsSyncable(Account,String,int)>",Set whether this account/provider is syncable. This method requires the caller to hold the permission Manifest.permission.WRITE_SYNC_SETTINGS .,"account Account |||
authority String |||
syncable int : >0 denotes syncable 0 means not syncable <0 means unknown |||",void,5,This class provides applications access to the content model.,"Contains classes for accessing and publishing data on a device.  It includes three main
 categories of APIs: Content sharing ( android.content ) For sharing content between application components. The most important classes are:
      ContentProvider  and  ContentResolver 
   for managing and publishing persistent data associated with an application. Intent  and  IntentFilter  for delivering
   structured messages between different application components—allowing components to initiate
   other components and return results. Package management ( android.content.pm ) For accessing information about an Android package (an  .apk ) including information
 about its activities permissions services signatures and providers. The most important class for
 accessing this information is  PackageManager . Resource management ( android.content.res ) For retrieving resource data associated with an application such as strings drawables
 media and device configuration details. The most important class for accessing this data is  Resources .",,,,,,,
<android.app.TimePickerDialog: Bundle onSaveInstanceState()>,"Saves the state of the dialog into a bundle.

 The default implementation saves the state of its view hierarchy so you'll
 likely want to call through to super if you override this to save additional
 state.",,"Bundle A bundle with the state of the dialog.
 
 This value cannot be null . |||",1,"A dialog that prompts the user for the time of day using a
  TimePicker .

  
 See the  Pickers 
 guide.","Contains high-level classes encapsulating the overall Android application model. An Android application is defined using one or more of Android's four core application
 components. Two such application components are defined in this package:  Activity  and  Service . The other two components are from the  android.content  package:  BroadcastReceiver  and  ContentProvider . An  Activity  is an application component that provides a screen with which
 users can interact in order to do something such as dial the phone take a photo send an email or
 view a map. An activity can start other activities including activities that live in separate
 applications. A  Service  is an application component that can perform
 long-running operations in the background without a user interface. For example a service
 can handle network transactions play music or work with a content provider without the user being
 aware of the work going on. The  Fragment  class is also an important part of an application's
 design—especially when designing for large screen devices such as tablets. A fragment defines
 a distinct part of an activity's behavior including the associated UI. It has its own lifecycle
 that is similar to that of the activity and can exist alongside other fragments that are embedded in
 the activity. While an activity is running you can add and remove fragments and include each
 fragment in a back stack that's managed by the activity—allowing the user to navigate
 backwards through the fragment states without leaving the activity. This package also defines application utilities such as dialogs notifications and the
 action bar. For information about using some the classes in this package see the following
 documents:  Activities   Services   Fragments   Using the Action Bar   Creating Dialogs  and  Notifying the User .",,,,,,,
"<android.media.MediaPlayer: MediaPlayer create(Context,Uri,SurfaceHolder)>","Convenience method to create a MediaPlayer for a given Uri.
 On success prepare() will already have been called and must not be called again. When done with the MediaPlayer you should call release() to free the resources. If not released too many MediaPlayer instances will
 result in an exception. Note that since prepare() is called automatically in this method
 you cannot change the audio
 session ID (see setAudioSessionId(int) ) or audio attributes
 (see setAudioAttributes(android.media.AudioAttributes) of the new MediaPlayer.","context Context : the Context to use |||
uri Uri : the Uri from which to get the datasource |||
holder SurfaceHolder : the SurfaceHolder to use for displaying the video |||",MediaPlayer a MediaPlayer object or null if creation failed |||,1,"MediaPlayer class can be used to control playback
 of audio/video files and streams. An example on how to use the methods in
 this class can be found in  VideoView .

  Topics covered here are:
  State Diagram Valid and Invalid States Permissions Register informational and error callbacks","The Media APIs are used to play and in some cases record media files. This includes
 audio (e.g. play MP3s or other music files ringtones game sound effects or DTMF tones)
 and video (e.g. play a video streamed over the web or from local storage).
  Other special classes in the package offer the ability to detect the faces of people
 in Bitmaps ( FaceDetector ) control audio routing (to the device or a headset)
 and control alerts such as ringtones and phone vibrations ( AudioManager ).",,,,,,,
<android.os.storage.StorageManager: String getMountedObbPath(String)>,"Check the mounted path of an Opaque Binary Blob (OBB) file. This will
 give you the path to where you can obtain access to the internals of the
 OBB.",rawPath String : path to OBB image |||,"String absolute path to mounted OBB image data or null if
         not mounted or exception encountered trying to read status |||",9,"StorageManager is the interface to the systems storage service. The storage
 manager handles storage-related items such as Opaque Binary Blobs (OBBs).
  
 OBBs contain a filesystem that maybe be encrypted on disk and mounted
 on-demand from an application. OBBs are a good way of providing large amounts
 of binary assets without packaging them into APKs as they may be multiple
 gigabytes in size. However due to their size they're most likely stored in
 a shared storage pool accessible from all programs. The system does not
 guarantee the security of the OBB file itself: if any program modifies the
 OBB there is no guarantee that a read from that OBB will produce the
 expected output.",,,,,,,,
<android.net.sip.SipAudioCall: void startAudio()>,"Starts the audio for the established call. This method should be called
 after Listener#onCallEstablished is called. Note: Requires the Manifest.permission.RECORD_AUDIO  Manifest.permission.ACCESS_WIFI_STATE and Manifest.permission.WAKE_LOCK permissions.",,void,9,"Handles an Internet audio call over SIP. You can instantiate this class with  SipManager 
 using  SipManager#makeAudioCall  and   SipManager#takeAudioCall .

  Note:  Using this class require the
    Manifest.permission.INTERNET  and
    Manifest.permission.USE_SIP  permissions. In addition  startAudio()  requires the
    Manifest.permission.RECORD_AUDIO 
    Manifest.permission.ACCESS_WIFI_STATE  and
    Manifest.permission.WAKE_LOCK  permissions; and  setSpeakerMode()  requires the
    Manifest.permission.MODIFY_AUDIO_SETTINGS  permission.",,,,,,,,
<android.view.View: Bitmap getDrawingCache()>,"This method was deprecated
      in API level 28. The view drawing cache was largely made obsolete with the introduction of
 hardware-accelerated rendering in API 11. With hardware-acceleration intermediate cache
 layers are largely unnecessary and can easily result in a net loss in performance due to the
 cost of creating and updating the layer. In the rare cases where caching layers are useful
 such as for alpha animations setLayerType(int android.graphics.Paint) handles this with hardware
 rendering. For software-rendered snapshots of a small part of the View hierarchy or
 individual Views it is recommended to create a Canvas from either a Bitmap or Picture and call draw(android.graphics.Canvas) on the View. However these
 software-rendered usages are discouraged and have compatibility issues with hardware-only
 rendering features such as Config.HARDWARE bitmaps real-time shadows and outline clipping. For screenshots of the UI for feedback
 reports or unit testing the PixelCopy API is recommended. Calling this method is equivalent to calling getDrawingCache(false) .",,Bitmap A non-scaled bitmap representing this view or null if cache is disabled. |||,1,"This class represents the basic building block for user interface components. A View
 occupies a rectangular area on the screen and is responsible for drawing and
 event handling. View is the base class for  widgets  which are
 used to create interactive UI components (buttons text fields etc.). The
  ViewGroup  subclass is the base class for  layouts  which
 are invisible containers that hold other Views (or other ViewGroups) and define
 their layout properties.",,,,,,,,
"<android.content.ContentProvider: AssetFileDescriptor openAssetFile(Uri,String)>","This is like openFile(Uri String) but can be implemented by providers
 that need to be able to return sub-sections of files often assets
 inside of their .apk.
 This method can be called from multiple threads as described in Processes
 and Threads . If you implement this your clients must be able to deal with such
 file slices either directly with ContentResolver#openAssetFileDescriptor or by using the higher-level ContentResolver#openInputStream or ContentResolver#openOutputStream methods. The returned AssetFileDescriptor can be a pipe or socket pair to enable
 streaming of data. If you are implementing this to return a full file you
 should create the AssetFileDescriptor with AssetFileDescriptor#UNKNOWN_LENGTH to be compatible with
 applications that cannot handle sub-sections of files. For use in Intents you will want to implement getType(Uri) to return the appropriate MIME type for the data returned here with
 the same URI.  This will allow intent resolution to automatically determine the data MIME
 type and select the appropriate matching targets as part of its operation. For better interoperability with other applications it is recommended
 that for any URIs that can be opened you also support queries on them
 containing at least the columns specified by OpenableColumns .","uri Uri : The URI whose file is to be opened.
This value cannot be null . |||
mode String : Access mode for the file.  May be ""r"" for read-only access
""w"" for write-only access (erasing whatever data is currently in
the file) ""wa"" for write-only access to append to any existing data
""rw"" for read and write access on any existing data and ""rwt"" for read
and write access that truncates any existing file.
This value cannot be null . |||","AssetFileDescriptor Returns a new AssetFileDescriptor which you can use to access
 the file.

 This value may be null . |||",3,"Content providers are one of the primary building blocks of Android applications providing
 content to applications. They encapsulate data and provide it to applications through the single
  ContentResolver  interface. A content provider is only required if you need to share
 data between multiple applications. For example the contacts data is used by multiple
 applications and must be stored in a content provider. If you don't need to share data amongst
 multiple applications you can use a database directly via
  SQLiteDatabase .

  When a request is made via
 a  ContentResolver  the system inspects the authority of the given URI and passes the
 request to the content provider registered with the authority. The content provider can interpret
 the rest of the URI however it wants. The  UriMatcher  class is helpful for parsing
 URIs. The primary methods that need to be implemented are:
  onCreate()  which is called to initialize the provider query(Uri String[] Bundle CancellationSignal)  which returns data to the caller insert(Uri ContentValues)  which inserts new data into the content provider update(Uri ContentValues String String[])  which updates existing data in the content provider delete(Uri String String[])  which deletes data from the content provider getType(Uri)  which returns the MIME type of data in the content provider Requests to  ContentResolver  are automatically forwarded to the appropriate
 ContentProvider instance so subclasses don't have to worry about the details of
 cross-process calls.","Contains classes for accessing and publishing data on a device.  It includes three main
 categories of APIs: Content sharing ( android.content ) For sharing content between application components. The most important classes are:
      ContentProvider  and  ContentResolver 
   for managing and publishing persistent data associated with an application. Intent  and  IntentFilter  for delivering
   structured messages between different application components—allowing components to initiate
   other components and return results. Package management ( android.content.pm ) For accessing information about an Android package (an  .apk ) including information
 about its activities permissions services signatures and providers. The most important class for
 accessing this information is  PackageManager . Resource management ( android.content.res ) For retrieving resource data associated with an application such as strings drawables
 media and device configuration details. The most important class for accessing this data is  Resources .",,,,,,,
"<android.os.Bundle: void putStringArrayList(String,ArrayList)>","Inserts an ArrayList value into the mapping of this Bundle replacing
 any existing value for the given key.  Either key or value may be null.","key String : a String or null
This value may be null . |||
value ArrayList : an ArrayList object or null
This value may be null . |||",void,1,A mapping from String keys to various  Parcelable  values.,,,,,,,,
"<android.widget.SimpleCursorAdapter: void setViewText(TextView,String)>","Called by bindView() to set the text for a TextView but only if
 there is no existing ViewBinder or if the existing ViewBinder cannot
 handle binding to a TextView.

 Intended to be overridden by Adapters that need to filter strings
 retrieved from the database.","v TextView : TextView to receive text |||
text String : the text to be set for the TextView |||",void,1,"An easy adapter to map columns from a cursor to TextViews or ImageViews
 defined in an XML file. You can specify which columns you want which
 views you want to display the columns and the XML file that defines
 the appearance of these views.

 Binding occurs in two phases. First if a
  SimpleCursorAdapter.ViewBinder  is available
  ViewBinder#setViewValue(android.view.View android.database.Cursor int) 
 is invoked. If the returned value is true binding has occured. If the
 returned value is false and the view to bind is a TextView
  setViewText(android.widget.TextView java.lang.String)  is invoked. If the returned value
 is false and the view to bind is an ImageView
  setViewImage(android.widget.ImageView java.lang.String)  is invoked. If no appropriate
 binding can be found an  IllegalStateException  is thrown.

 If this adapter is used with filtering for instance in an
  AutoCompleteTextView  you can use the
  SimpleCursorAdapter.CursorToStringConverter  and the
  FilterQueryProvider  interfaces
 to get control over the filtering process. You can refer to
  convertToString(android.database.Cursor)  and
  CursorAdapter.runQueryOnBackgroundThread(java.lang.CharSequence)  for more information.","The widget package contains (mostly visual) UI elements to use
 on your Application screen. You can also design your own.
  
 To create your own widget extend  View  or a subclass. To
 use your widget in layout XML there are two additional files for you to
 create. Here is a list of files you'll need to create to implement a custom
 widget:
  Java implementation file  - This is the file that implements the
 behavior of the widget. If you can instantiate the object from layout XML
 you will also have to code a constructor that retrieves all the attribute
 values from the layout XML file. XML definition file  - An XML file in res/values/ that defines
 the XML element used to instantiate your widget and the attributes that it
 supports. Other applications will use this element and attributes in their in
 another in their layout XML. Layout XML  [ optional ]- An optional XML file inside
 res/layout/ that describes the layout of your widget. You could also do
 this in code in your Java file. 
 ApiDemos sample application has an example of creating a custom layout XML
 tag LabelView. See the following files that demonstrate implementing and using
 a custom widget:
  LabelView.java  - The implementation file res/values/attrs.xml  - Definition file res/layout/custom_view_1.xml  - Layout file",,,,,,,
<android.content.pm.PackageItemInfo: CharSequence loadLabel(PackageManager)>,"Retrieve the current textual label associated with this item.  This
 will call back on the given PackageManager to load the label from
 the application.","pm PackageManager : A PackageManager from which the label can be loaded; usually
the PackageManager from which you originally retrieved this item.
This value cannot be null . |||","CharSequence Returns a CharSequence containing the item's label.  If the
 item does not have a label its name is returned.
 
 This value cannot be null . |||",1,"Base class containing information common to all package items held by
 the package manager.  This provides a very common basic set of attributes:
 a label icon and meta-data.  This class is not intended
 to be used by itself; it is simply here to share common definitions
 between all items returned by the package manager.  As such it does not
 itself implement Parcelable but does provide convenience methods to assist
 in the implementation of Parcelable in subclasses.","Contains classes for accessing and publishing data on a device.  It includes three main
 categories of APIs: Content sharing ( android.content ) For sharing content between application components. The most important classes are:
      ContentProvider  and  ContentResolver 
   for managing and publishing persistent data associated with an application. Intent  and  IntentFilter  for delivering
   structured messages between different application components—allowing components to initiate
   other components and return results. Package management ( android.content.pm ) For accessing information about an Android package (an  .apk ) including information
 about its activities permissions services signatures and providers. The most important class for
 accessing this information is  PackageManager . Resource management ( android.content.res ) For retrieving resource data associated with an application such as strings drawables
 media and device configuration details. The most important class for accessing this data is  Resources .",,,,,,,
<android.content.Intent: String resolveType(ContentResolver)>,"Return the MIME data type of this intent.  If the type field is
 explicitly set that is simply returned.  Otherwise if the data is set
 the type of that data is returned.  If neither fields are set a null is
 returned.","resolver ContentResolver : A ContentResolver that can be used to determine the MIME
type of the intent's data.
This value cannot be null . |||",String The MIME type of this intent. |||,1,"An intent is an abstract description of an operation to be performed.  It
 can be used with  Context#startActivity(Intent)  to
 launch an  Activity 
  broadcastIntent  to
 send it to any interested  BroadcastReceiver  components
 and  Context.startService(Intent)  or
  Context.bindService(Intent ServiceConnection int)  to communicate with a
 background  Service .

  An Intent provides a facility for performing late runtime binding between the code in
 different applications. Its most significant use is in the launching of activities where it
 can be thought of as the glue between activities. It is basically a passive data structure
 holding an abstract description of an action to be performed.","Contains classes for accessing and publishing data on a device.  It includes three main
 categories of APIs: Content sharing ( android.content ) For sharing content between application components. The most important classes are:
      ContentProvider  and  ContentResolver 
   for managing and publishing persistent data associated with an application. Intent  and  IntentFilter  for delivering
   structured messages between different application components—allowing components to initiate
   other components and return results. Package management ( android.content.pm ) For accessing information about an Android package (an  .apk ) including information
 about its activities permissions services signatures and providers. The most important class for
 accessing this information is  PackageManager . Resource management ( android.content.res ) For retrieving resource data associated with an application such as strings drawables
 media and device configuration details. The most important class for accessing this data is  Resources .",,,,,,,
"<android.content.pm.PackageManager: PackageInfo getPackageArchiveInfo(String,int)>","Retrieve overall information about an application package defined in a
 package archive file","archiveFilePath String : The path to the archive file
This value cannot be null . |||
flags int : Additional option flags to modify the data returned.
Value is either 0 or a combination of GET_ACTIVITIES  GET_CONFIGURATIONS  GET_GIDS  GET_INSTRUMENTATION  GET_INTENT_FILTERS  GET_META_DATA  GET_PERMISSIONS  GET_PROVIDERS  GET_RECEIVERS  GET_SERVICES  GET_SHARED_LIBRARY_FILES  GET_SIGNATURES  GET_SIGNING_CERTIFICATES  GET_URI_PERMISSION_PATTERNS  MATCH_UNINSTALLED_PACKAGES  MATCH_DISABLED_COMPONENTS  MATCH_DISABLED_UNTIL_USED_COMPONENTS  MATCH_SYSTEM_ONLY android.content.pm.PackageManager.MATCH_FACTORY_ONLY android.content.pm.PackageManager.MATCH_DEBUG_TRIAGED_MISSING android.content.pm.PackageManager.MATCH_INSTANT MATCH_APEX  GET_DISABLED_COMPONENTS  GET_DISABLED_UNTIL_USED_COMPONENTS  GET_UNINSTALLED_PACKAGES and android.content.pm.PackageManager.MATCH_HIDDEN_UNTIL_INSTALLED_COMPONENTS |||","PackageInfo A PackageInfo object containing information about the package
         archive. If the package could not be parsed returns null. |||",1,"Class for retrieving various kinds of information related to the application
 packages that are currently installed on the device.

 You can find this class through  Context#getPackageManager .","Contains classes for accessing and publishing data on a device.  It includes three main
 categories of APIs: Content sharing ( android.content ) For sharing content between application components. The most important classes are:
      ContentProvider  and  ContentResolver 
   for managing and publishing persistent data associated with an application. Intent  and  IntentFilter  for delivering
   structured messages between different application components—allowing components to initiate
   other components and return results. Package management ( android.content.pm ) For accessing information about an Android package (an  .apk ) including information
 about its activities permissions services signatures and providers. The most important class for
 accessing this information is  PackageManager . Resource management ( android.content.res ) For retrieving resource data associated with an application such as strings drawables
 media and device configuration details. The most important class for accessing this data is  Resources .",,,,,,,
<android.widget.TextView: Parcelable onSaveInstanceState()>,"Hook allowing a view to generate a representation of its internal state
 that can later be used to create a new instance with that same state.
 This state should only contain information that is not persistent or can
 not be reconstructed later. For example you will never store your
 current position on screen because that will be computed again when a
 new instance of the view is placed in its view hierarchy. Some examples of things you may store here: the current cursor position
 in a text view (but usually not the text itself since that is stored in a
 content provider or other persistent storage) the currently selected
 item in a list view. If you override this method you must call through to the
 superclass implementation.",,"Parcelable Returns a Parcelable object containing the view's current dynamic
         state or null if there is nothing interesting to save. |||",1,"A user interface element that displays text to the user.
 To provide user-editable text see  EditText .
  
 The following code sample shows a typical use with an XML layout
 and code to modify the contents of the text view:
  
 <LinearLayout
      xmlns:android=""http://schemas.android.com/apk/res/android""
      android:layout_width=""match_parent""
      android:layout_height=""match_parent"">
    <TextView
        android:id=""@+id/text_view_id""
        android:layout_height=""wrap_content""
        android:layout_width=""wrap_content""
        android:text=""@string/hello"" />
 </LinearLayout>
  
 This code sample demonstrates how to modify the contents of the text view
 defined in the previous XML layout:
  
 public class MainActivity extends Activity {

    protected void onCreate(Bundle savedInstanceState) {
         super.onCreate(savedInstanceState);
         setContentView(R.layout.activity_main);
         final TextView helloTextView = (TextView) findViewById(R.id.text_view_id);
         helloTextView.setText(R.string.user_greeting);
     }
 }
  
 To customize the appearance of TextView see  Styles and Themes .
  XML attributes 
 See  TextView Attributes 
  View Attributes","The widget package contains (mostly visual) UI elements to use
 on your Application screen. You can also design your own.
  
 To create your own widget extend  View  or a subclass. To
 use your widget in layout XML there are two additional files for you to
 create. Here is a list of files you'll need to create to implement a custom
 widget:
  Java implementation file  - This is the file that implements the
 behavior of the widget. If you can instantiate the object from layout XML
 you will also have to code a constructor that retrieves all the attribute
 values from the layout XML file. XML definition file  - An XML file in res/values/ that defines
 the XML element used to instantiate your widget and the attributes that it
 supports. Other applications will use this element and attributes in their in
 another in their layout XML. Layout XML  [ optional ]- An optional XML file inside
 res/layout/ that describes the layout of your widget. You could also do
 this in code in your Java file. 
 ApiDemos sample application has an example of creating a custom layout XML
 tag LabelView. See the following files that demonstrate implementing and using
 a custom widget:
  LabelView.java  - The implementation file res/values/attrs.xml  - Definition file res/layout/custom_view_1.xml  - Layout file",,,,,,,
<android.service.dreams.DreamService: void finish()>,"Stops the dream and detaches from the window. When the dream ends the system will be allowed to go to sleep fully unless there
 is a reason for it to be awake such as recent user activity or wake locks being held.",,void,17,"Extend this class to implement a custom dream (available to the user as a ""Daydream"").

  Dreams are interactive screensavers launched when a charging device is idle or docked in a
 desk dock. Dreams provide another modality for apps to express themselves tailored for
 an exhibition/lean-back experience. The  DreamService  lifecycle is as follows: onAttachedToWindow() Use this for initial setup such as calling  setContentView() . onDreamingStarted() Your dream has started so you should begin animations or other behaviors here. onDreamingStopped() Use this to stop the things you started in  onDreamingStarted() . onDetachedFromWindow() Use this to dismantle resources (for example detach from handlers
        and listeners). In addition onCreate and onDestroy (from the Service interface) will also be called but
 initialization and teardown should be done by overriding the hooks above. To be available to the system your  DreamService  should be declared in the
 manifest as follows: 
 <service
     android:name="".MyDream""
     android:exported=""true""
     android:icon=""@drawable/my_icon""
     android:label=""@string/my_dream_label"" >

     <intent-filter>
         <action android:name=""android.service.dreams.DreamService"" />
         <category android:name=""android.intent.category.DEFAULT"" />
     </intent-filter>

     <!-- Point to additional information for this dream (optional) -->
     <meta-data
         android:name=""android.service.dream""
         android:resource=""@xml/my_dream"" />
 </service>
  If specified with the  <meta-data>  element
 additional information for the dream is defined using the
  <dream>  element in a separate XML file.
 Currently the only addtional
 information you can provide is for a settings activity that allows the user to configure
 the dream behavior. For example: res/xml/my_dream.xml 
 <dream xmlns:android=""http://schemas.android.com/apk/res/android""
     android:settingsActivity=""com.example.app/.MyDreamSettingsActivity"" />
  This makes a Settings button available alongside your dream's listing in the
 system settings which when pressed opens the specified activity. To specify your dream layout call  setContentView(View)  typically during the
  onAttachedToWindow()  callback. For example: 
 public class MyDream extends DreamService {

     @Override
     public void onAttachedToWindow() {
         super.onAttachedToWindow();

         // Exit dream upon user touch
         setInteractive(false);
         // Hide system UI
         setFullscreen(true);
         // Set the dream layout
         setContentView(R.layout.dream);
     }
 }
  When targeting api level 21 and above you must declare the service in your manifest file
 with the  Manifest.permission.BIND_DREAM_SERVICE  permission. For example: 
 <service
     android:name="".MyDream""
     android:exported=""true""
     android:icon=""@drawable/my_icon""
     android:label=""@string/my_dream_label""
     android:permission=""android.permission.BIND_DREAM_SERVICE"">
   <intent-filter>
     <action android:name=”android.service.dreams.DreamService” />
     <category android:name=”android.intent.category.DEFAULT” />
   </intent-filter>
 </service>",,,,,,,,
