,Description,Parameters,Return,ApiLevel,ClassDescription,PackageDescription,sensitive data?,shared resource?,sensitive shared resource?,produces sensitive data from shared resource?,writes sensitive data to shared resource?,Source?,Sink?,Needs Clarification
"<android.widget.SimpleAdapter: View getView(int,View,ViewGroup)>","Get a View that displays the data at the specified position in the data set. You can either
 create a View manually or inflate it from an XML layout file. When the View is inflated the
 parent View (GridView ListView...) will apply default layout parameters unless you use LayoutInflater.inflate(int android.view.ViewGroup boolean) to specify a root view and to prevent attachment to the root.","position int : The position of the item within the adapter's data set of the item whose view
we want. |||
convertView View : The old view to reuse if possible. Note: You should check that this view
is non-null and of an appropriate type before using. If it is not possible to convert
this view to display the correct data this method can create a new view.
Heterogeneous lists can specify their number of view types so that this View is
always of the right type (see BaseAdapter.getViewTypeCount() and BaseAdapter.getItemViewType(int) ). |||
parent ViewGroup : The parent that this view will eventually be attached to |||",View A View corresponding to the data at the specified position. |||,1,"An easy adapter to map static data to views defined in an XML file. You can specify the data
 backing the list as an ArrayList of Maps. Each entry in the ArrayList corresponds to one row
 in the list. The Maps contain the data for each row. You also specify an XML file that
 defines the views used to display the row and a mapping from keys in the Map to specific
 views.

 Binding data to views occurs in two phases. First if a
  SimpleAdapter.ViewBinder  is available
  ViewBinder#setViewValue(android.view.View Object String) 
 is invoked. If the returned value is true binding has occurred.
 If the returned value is false the following views are then tried in order:
   A view that implements Checkable (e.g. CheckBox).  The expected bind value is a boolean.
   TextView.  The expected bind value is a string and  setViewText(android.widget.TextView java.lang.String) 
 is invoked.
   ImageView. The expected bind value is a resource id or a string and
  setViewImage(android.widget.ImageView int)  or  setViewImage(android.widget.ImageView java.lang.String)  is invoked.
  IllegalStateException","The widget package contains (mostly visual) UI elements to use
 on your Application screen. You can also design your own.
  
 To create your own widget extend  View  or a subclass. To
 use your widget in layout XML there are two additional files for you to
 create. Here is a list of files you'll need to create to implement a custom
 widget:
  Java implementation file  - This is the file that implements the
 behavior of the widget. If you can instantiate the object from layout XML
 you will also have to code a constructor that retrieves all the attribute
 values from the layout XML file. XML definition file  - An XML file in res/values/ that defines
 the XML element used to instantiate your widget and the attributes that it
 supports. Other applications will use this element and attributes in their in
 another in their layout XML. Layout XML  [ optional ]- An optional XML file inside
 res/layout/ that describes the layout of your widget. You could also do
 this in code in your Java file. 
 ApiDemos sample application has an example of creating a custom layout XML
 tag LabelView. See the following files that demonstrate implementing and using
 a custom widget:
  LabelView.java  - The implementation file res/values/attrs.xml  - Definition file res/layout/custom_view_1.xml  - Layout file",no,no,0,no,no,no,no,
<android.speech.tts.TextToSpeech: Locale getLanguage()>,"This method was deprecated
      in API level 21. As of API level 21 please use getVoice().getLocale() ( getVoice() ). Returns a Locale instance describing the language currently being used for synthesis
 requests sent to the TextToSpeech engine.

 In Android 4.2 and before (API <= 17) this function returns the language that is currently
 being used by the TTS engine. That is the last language set by this or any other
 client by a TextToSpeech#setLanguage call to the same engine.

 In Android versions after 4.2 this function returns the language that is currently being
 used for the synthesis requests sent from this client. That is the last language set
 by a TextToSpeech#setLanguage call on this instance.

 If a voice is set (by setVoice(android.speech.tts.Voice) ) getLanguage will return the language of
 the currently set voice.

 Please note that the Locale object returned by this method is NOT a valid Locale object. Its
 language field contains a three-letter ISO 639-2/T code (where a proper Locale would use
 a two-letter ISO 639-1 code) and the country field contains a three-letter ISO 3166 country
 code (where a proper Locale would use a two-letter ISO 3166-1 code).",,"Locale language country (if any) and variant (if any) used by the client stored in a
     Locale instance or null on error. |||",4,"Synthesizes speech from text for immediate playback or to create a sound file.
  A TextToSpeech instance can only be used to synthesize text once it has completed its
 initialization. Implement the  TextToSpeech.OnInitListener  to be
 notified of the completion of the initialization. 
 When you are done using the TextToSpeech instance call the  shutdown()  method
 to release the native resources used by the TextToSpeech engine.",,no,no,0,no,no,no,no,
"<android.content.res.TypedArray: float getFloat(int,float)>","Retrieve the float value for the attribute at index . If the attribute is not a float or an integer this method will attempt
 to coerce it to a float using Float#parseFloat(String) .","index int : Index of attribute to retrieve. |||
defValue float |||","float Attribute float value or defValue if the attribute was
         not defined or could not be coerced to a float. |||",1,"Container for an array of values that were retrieved with
  Resources.Theme#obtainStyledAttributes(AttributeSet int[] int int) 
 or  Resources#obtainAttributes .  Be
 sure to call  recycle()  when done with them.

 The indices used to retrieve values from this structure correspond to
 the positions of the attributes given to obtainStyledAttributes.","Contains classes for accessing and publishing data on a device.  It includes three main
 categories of APIs: Content sharing ( android.content ) For sharing content between application components. The most important classes are:
      ContentProvider  and  ContentResolver 
   for managing and publishing persistent data associated with an application. Intent  and  IntentFilter  for delivering
   structured messages between different application components—allowing components to initiate
   other components and return results. Package management ( android.content.pm ) For accessing information about an Android package (an  .apk ) including information
 about its activities permissions services signatures and providers. The most important class for
 accessing this information is  PackageManager . Resource management ( android.content.res ) For retrieving resource data associated with an application such as strings drawables
 media and device configuration details. The most important class for accessing this data is  Resources .",no,no,0,no,no,no,no,
<android.os.StrictMode: void noteSlowCall(String)>,For code to note that it's slow. This is a no-op unless the current thread's StrictMode.ThreadPolicy has StrictMode.ThreadPolicy.Builder.detectCustomSlowCalls() enabled.,name String : a short string for the exception stack trace that's built if when this fires. |||,void,11,"StrictMode is a developer tool which detects things you might be doing by accident and brings
 them to your attention so you can fix them.

  StrictMode is most commonly used to catch accidental disk or network access on the
 application's main thread where UI operations are received and animations take place. Keeping
 disk and network operations off the main thread makes for much smoother more responsive
 applications. By keeping your application's main thread responsive you also prevent  ANR dialogs  from being shown to
 users.

  Note that even though an Android device's disk is often on flash memory many
 devices run a filesystem on top of that memory with very limited concurrency. It's often the case
 that almost all disk accesses are fast but may in individual cases be dramatically slower when
 certain I/O is happening in the background from other processes. If possible it's best to assume
 that such things are not fast.

  Example code to enable from early in your  Application   Activity  or other application component's  Application.onCreate() 
 method:

  
 public void onCreate() {
     if (DEVELOPER_MODE) {
         StrictMode.setThreadPolicy(new  ThreadPolicy.Builder ()
                 .detectDiskReads()
                 .detectDiskWrites()
                 .detectNetwork()   // or .detectAll() for all detectable problems
                 .penaltyLog()
                 .build());
         StrictMode.setVmPolicy(new  VmPolicy.Builder ()
                 .detectLeakedSqlLiteObjects()
                 .detectLeakedClosableObjects()
                 .penaltyLog()
                 .penaltyDeath()
                 .build());
     }
     super.onCreate();
 }
  You can decide what should happen when a violation is detected. For example using  StrictMode.ThreadPolicy.Builder.penaltyLog()  you can watch the output of  adb logcat  while you
 use your application to see the violations as they happen.

  If you find violations that you feel are problematic there are a variety of tools to help
 solve them: threads  Handler   AsyncTask   IntentService  etc. But don't feel compelled to fix everything that StrictMode
 finds. In particular many cases of disk access are often necessary during the normal activity
 lifecycle. Use StrictMode to find things you did by accident. Network requests on the UI thread
 are almost always a problem though.

  StrictMode is not a security mechanism and is not guaranteed to find all disk or
 network accesses. While it does propagate its state across process boundaries when doing  Binder  calls it's still ultimately a best effort mechanism. Notably disk or network
 access from JNI calls won't necessarily trigger it. Future versions of Android may catch more (or
 fewer) operations so you should never leave StrictMode enabled in applications distributed on
 Google Play.",,no,no,0,no,no,no,no,
<android.accounts.AccountManager: String getPassword(Account)>,"Gets the saved password associated with the account. This is intended for authenticators and
 related code; applications should get an auth token instead. It is safe to call this method from the main thread. This method requires the caller to have a signature match with the authenticator that owns
 the specified account. NOTE: If targeting your app to work on API level Build.VERSION_CODES.LOLLIPOP_MR1 and before AUTHENTICATE_ACCOUNTS
 permission is needed for those platforms. See docs for this function in API level Build.VERSION_CODES.LOLLIPOP_MR1 . Requires android.Manifest.permission.AUTHENTICATE_ACCOUNTS",account Account : The account to query for a password. Must not be null . |||,String The account's password null if none or if the account doesn't exist |||,5,"This class provides access to a centralized registry of the user's
 online accounts.  The user enters credentials (username and password) once
 per account granting applications access to online resources with
 ""one-click"" approval.

  Different online services have different ways of handling accounts and
 authentication so the account manager uses pluggable  authenticator 
 modules for different  account types .  Authenticators (which may be
 written by third parties) handle the actual details of validating account
 credentials and storing account information.  For example Google Facebook
 and Microsoft Exchange each have their own authenticator.

  Many servers support some notion of an  authentication token 
 which can be used to authenticate a request to the server without sending
 the user's actual password.  (Auth tokens are normally created with a
 separate request which does include the user's credentials.)  AccountManager
 can generate auth tokens for applications so the application doesn't need to
 handle passwords directly.  Auth tokens are normally reusable and cached by
 AccountManager but must be refreshed periodically.  It's the responsibility
 of applications to  invalidate  auth tokens when they stop working so
 the AccountManager knows it needs to regenerate them.

  Applications accessing a server normally go through these steps:

  Get an instance of AccountManager using  get(android.content.Context) .

  List the available accounts using  getAccountsByType(String)  or
  getAccountsByTypeAndFeatures(String String[] AccountManagerCallback  Handler) .  Normally applications will only
 be interested in accounts with one particular  type  which
 identifies the authenticator.  Account  features  are used to
 identify particular account subtypes and capabilities.  Both the account
 type and features are authenticator-specific strings and must be known by
 the application in coordination with its preferred authenticators.

  Select one or more of the available accounts possibly by asking the
 user for their preference.  If no suitable accounts are available
  addAccount(String String String[] Bundle Activity AccountManagerCallback  Handler)  may be called to prompt the user to create an
 account of the appropriate type.

  Important:  If the application is using a previously remembered
 account selection it must make sure the account is still in the list
 of accounts returned by  getAccountsByType(String) .  Requesting an auth token
 for an account no longer on the device results in an undefined failure.

  Request an auth token for the selected account(s) using one of the
  getAuthToken(Account String Bundle Activity AccountManagerCallback  Handler)  methods or related helpers.  Refer to the description
 of each method for exact usage and error handling details.

  Make the request using the auth token.  The form of the auth token
 the format of the request and the protocol used are all specific to the
 service you are accessing.  The application may use whatever network and
 protocol libraries are useful.

  Important:  If the request fails with an authentication error
 it could be that a cached auth token is stale and no longer honored by
 the server.  The application must call  invalidateAuthToken(String String)  to remove
 the token from the cache otherwise requests will continue failing!  After
 invalidating the auth token immediately go back to the ""Request an auth
 token"" step above.  If the process fails the second time then it can be
 treated as a ""genuine"" authentication failure and the user notified or other
 appropriate actions taken.
  Some AccountManager methods may need to interact with the user to
 prompt for credentials present options or ask the user to add an account.
 The caller may choose whether to allow AccountManager to directly launch the
 necessary user interface and wait for the user or to return an Intent which
 the caller may use to launch the interface or (in some cases) to install a
 notification which the user can select at any time to launch the interface.
 To have AccountManager launch the interface directly the caller must supply
 the current foreground  Activity  context.

  Many AccountManager methods take  AccountManagerCallback  and
  Handler  as parameters.  These methods return immediately and
 run asynchronously. If a callback is provided then
  AccountManagerCallback#run  will be invoked on the Handler's
 thread when the request completes successfully or not.
 The result is retrieved by calling  AccountManagerFuture#getResult() 
 on the  AccountManagerFuture  returned by the method (and also passed
 to the callback).  This method waits for the operation to complete (if
 necessary) and either returns the result or throws an exception if an error
 occurred during the operation.  To make the request synchronously call
  AccountManagerFuture#getResult()  immediately on receiving the
 future from the method; no callback need be supplied.

  Requests which may block including
  AccountManagerFuture#getResult()  must never be called on
 the application's main event thread.  These operations throw
  IllegalStateException  if they are used on the main thread.",,password,password file ,1,no,potentially,no,SINK,
<android.app.UiModeManager: int getNightMode()>,"Returns the currently configured night mode. May be one of: MODE_NIGHT_NO 
MODE_NIGHT_YES 
MODE_NIGHT_AUTO 
MODE_NIGHT_CUSTOM 
-1 on error",,"int the current night mode or -1 on error
 Value is MODE_NIGHT_AUTO  MODE_NIGHT_CUSTOM  MODE_NIGHT_NO or MODE_NIGHT_YES |||",8,"This class provides access to the system uimode services.  These services
 allow applications to control UI modes of the device.
 It provides functionality to disable the car mode and it gives access to the
 night mode settings.

  These facilities are built on top of the underlying
  Intent.ACTION_DOCK_EVENT  broadcasts that are sent when the user
 physical places the device into and out of a dock.  When that happens
 the UiModeManager switches the system  Configuration 
 to the appropriate UI mode sends broadcasts about the mode switch and
 starts the corresponding mode activity if appropriate.  See the
 broadcasts  ACTION_ENTER_CAR_MODE  and
  ACTION_ENTER_DESK_MODE  for more information.

  In addition the user may manually switch the system to car mode without
 physically being in a dock.  While in car mode -- whether by manual action
 from the user or being physically placed in a dock -- a notification is
 displayed allowing the user to exit dock mode.  Thus the dock mode
 represented here may be different than the current state of the underlying
 dock event broadcast.","Contains high-level classes encapsulating the overall Android application model. An Android application is defined using one or more of Android's four core application
 components. Two such application components are defined in this package:  Activity  and  Service . The other two components are from the  android.content  package:  BroadcastReceiver  and  ContentProvider . An  Activity  is an application component that provides a screen with which
 users can interact in order to do something such as dial the phone take a photo send an email or
 view a map. An activity can start other activities including activities that live in separate
 applications. A  Service  is an application component that can perform
 long-running operations in the background without a user interface. For example a service
 can handle network transactions play music or work with a content provider without the user being
 aware of the work going on. The  Fragment  class is also an important part of an application's
 design—especially when designing for large screen devices such as tablets. A fragment defines
 a distinct part of an activity's behavior including the associated UI. It has its own lifecycle
 that is similar to that of the activity and can exist alongside other fragments that are embedded in
 the activity. While an activity is running you can add and remove fragments and include each
 fragment in a back stack that's managed by the activity—allowing the user to navigate
 backwards through the fragment states without leaving the activity. This package also defines application utilities such as dialogs notifications and the
 action bar. For information about using some the classes in this package see the following
 documents:  Activities   Services   Fragments   Using the Action Bar   Creating Dialogs  and  Notifying the User .",no,no,0,no,no,no,no,
<android.nfc.tech.NfcF: int getTimeout()>,Get the current transceive(byte[]) timeout in milliseconds. Requires the Manifest.permission.NFC permission.,,int timeout value in milliseconds |||,14,"Provides access to NFC-F (JIS 6319-4) properties and I/O operations on a  Tag .

  Acquire a  NfcF  object using  get(Tag) .
  The primary NFC-F I/O operation is  transceive(byte[]) . Applications must
 implement their own protocol stack on top of  transceive(byte[]) .

  Note:  Methods that perform I/O operations
 require the  Manifest.permission.NFC  permission.","These classes provide access to a tag technology's features which vary by the type
 of tag that is scanned. A scanned tag can support multiple technologies and you can find
 out what they are by calling  getTechList() . For more information on dealing with tag technologies and handling the ones that you care about see
  The Tag Dispatch System .
 The  TagTechnology  interface provides an overview of the
 supported technologies.",nfc metadata,nfc,1,yes,no,SOURCE,no,
<android.accessibilityservice.AccessibilityServiceInfo: String loadDescription(PackageManager)>,The localized description of the accessibility service. Statically set from AccessibilityService#SERVICE_META_DATA .,packageManager PackageManager |||,String The localized description. |||,16,"This class describes an  AccessibilityService . The system notifies an
  AccessibilityService  for  AccessibilityEvent s
 according to the information encapsulated in this class.","The classes in this package are used for development of accessibility service that
   provide alternative or augmented feedback to the user.
  
   An  AccessibilityService  runs in the background and
   receives callbacks by the system when  AccessibilityEvent s
   are fired. Such events denote some state transition in the user interface for example the
   focus has changed a button has been clicked etc. Such a service can optionally request the
   capability for querying the content of the active window. Development of an accessibility
   service requires extends this class and implements its abstract methods.
  
   An  AccessibilityServiceInfo  describes an
    AccessibilityService . The system notifies an
   AccessibilityService for  AccessibilityEvent s
   according to the information encapsulated in this class.",no,no,0,no,no,no,no,
<android.app.Service: void stopSelf()>,"Stop the service if it was previously started.  This is the same as
 calling Context.stopService(Intent) for this particular service.",,void,1,"A Service is an application component representing either an application's desire
 to perform a longer-running operation while not interacting with the user
 or to supply functionality for other applications to use.  Each service
 class must have a corresponding
  <service> 
 declaration in its package's  AndroidManifest.xml .  Services
 can be started with
  Context.startService()  and
  Context.bindService() .

  Note that services like other application objects run in the main
 thread of their hosting process.  This means that if your service is going
 to do any CPU intensive (such as MP3 playback) or blocking (such as
 networking) operations it should spawn its own thread in which to do that
 work.  More information on this can be found in
  Processes and
 Threads .  The  IntentService  class is available
 as a standard implementation of Service that has its own thread where it
 schedules its work to be done. Topics covered here:
  What is a Service? Service Lifecycle Permissions Process Lifecycle Local Service Sample Remote Messenger Service Sample","Contains high-level classes encapsulating the overall Android application model. An Android application is defined using one or more of Android's four core application
 components. Two such application components are defined in this package:  Activity  and  Service . The other two components are from the  android.content  package:  BroadcastReceiver  and  ContentProvider . An  Activity  is an application component that provides a screen with which
 users can interact in order to do something such as dial the phone take a photo send an email or
 view a map. An activity can start other activities including activities that live in separate
 applications. A  Service  is an application component that can perform
 long-running operations in the background without a user interface. For example a service
 can handle network transactions play music or work with a content provider without the user being
 aware of the work going on. The  Fragment  class is also an important part of an application's
 design—especially when designing for large screen devices such as tablets. A fragment defines
 a distinct part of an activity's behavior including the associated UI. It has its own lifecycle
 that is similar to that of the activity and can exist alongside other fragments that are embedded in
 the activity. While an activity is running you can add and remove fragments and include each
 fragment in a back stack that's managed by the activity—allowing the user to navigate
 backwards through the fragment states without leaving the activity. This package also defines application utilities such as dialogs notifications and the
 action bar. For information about using some the classes in this package see the following
 documents:  Activities   Services   Fragments   Using the Action Bar   Creating Dialogs  and  Notifying the User .",no,no,0,no,no,no,no,
"<android.webkit.WebView: void loadDataWithBaseURL(String,String,String,String,String)>","Loads the given data into this WebView using baseUrl as the base URL for
 the content. The base URL is used both to resolve relative URLs and when
 applying JavaScript's same origin policy. The historyUrl is used for the
 history entry. The mimeType parameter specifies the format of the data.
 If WebView can't handle the specified MIME type it will download the data.
 If null defaults to 'text/html'. Note that content specified in this way can access local device files
 (via 'file' scheme URLs) only if baseUrl specifies a scheme other than
 'http' 'https' 'ftp' 'ftps' 'about' or 'javascript'. If the base URL uses the data scheme this method is equivalent to
 calling loadData() and the
 historyUrl is ignored and the data will be treated as part of a data: URL
 including the requirement that the content be URL-encoded or base64 encoded.
 If the base URL uses any other scheme then the data will be loaded into
 the WebView as a plain string (i.e. not part of a data URL) and any URL-encoded
 entities in the string will not be decoded. Note that the baseUrl is sent in the 'Referer' HTTP header when
 requesting subresources (images etc.) of the page loaded using this method. If a valid HTTP or HTTPS base URL is not specified in baseUrl then
 content loaded using this method will have a window.origin value
 of ""null"" . This must not be considered to be a trusted origin
 by the application or by any JavaScript code running inside the WebView
 (for example event sources in DOM event handlers or web messages)
 because malicious content can also create frames with a null origin. If
 you need to identify the main frame's origin in a trustworthy way you
 should use a valid HTTP or HTTPS base URL to set the origin.","baseUrl String : the URL to use as the page's base URL. If null defaults to
'about:blank'.
This value may be null . |||
data String : a String of data in the given encoding
This value must never be null . |||
mimeType String : the MIME type of the data e.g. 'text/html'.
This value may be null . |||
encoding String : the encoding of the data
This value may be null . |||
historyUrl String : the URL to use as the history entry. If null defaults
to 'about:blank'. If non-null this must be a valid URL.
This value may be null . |||",void,1,"A View that displays web pages.

  Basic usage In most cases we recommend using a standard web browser like Chrome to deliver
 content to the user. To learn more about web browsers read the guide on
  
 invoking a browser with an intent .

  WebView objects allow you to display web content as part of your activity layout but
 lack some of the features of fully-developed browsers. A WebView is useful when
 you need increased control over the UI and advanced configuration options that will allow
 you to embed web pages in a specially-designed environment for your app.

  To learn more about WebView and alternatives for serving web content read the
 documentation on
  
 Web-based content .","Provides tools for browsing the web.
  For more information about building apps with web-based content see the
  Web Apps Overview .",data from network ,network ,1,no,no,no,no,
<android.database.AbstractCursor: void deactivate()>,"Deactivates the Cursor making all calls on it fail until requery() is called.
 Inactive Cursors use fewer resources than active Cursors.
 Calling requery() will make the cursor active again.",,void,1,"This is an abstract cursor class that handles a lot of the common code
 that all cursors need to deal with and is provided for convenience reasons.","If you need to manage data in a private database use the  android.database.sqlite  classes. These classes are used to manage the  Cursor  object returned from a content provider query. Databases
 are usually created and opened with  openOrCreateDatabase(String int SQLiteDatabase.CursorFactory) 
 To make requests through
 content providers you can use the  content.ContentResolver  class.
  All databases are stored on the device in  /data/data/<package_name>/databases",no,no,0,no,no,no,no,
<android.view.ViewGroup: void removeAllViewsInLayout()>,"Called by a ViewGroup subclass to remove child views from itself
 when it must first know its size on screen before it can calculate how many
 child views it will render. An example is a Gallery or a ListView which
 may ""have"" 50 children but actually only render the number of children
 that can currently fit inside the object on screen. Do not call
 this method unless you are extending ViewGroup and understand the
 view measuring and layout pipeline. Note: do not invoke this method from View.draw(android.graphics.Canvas)  View.onDraw(android.graphics.Canvas)  dispatchDraw(android.graphics.Canvas) or any related method.",,void,1,"A  ViewGroup  is a special view that can contain other views
 (called children.) The view group is the base class for layouts and views
 containers. This class also defines the
  ViewGroup.LayoutParams  class which serves as the base
 class for layouts parameters.
  
 Also see  LayoutParams  for layout attributes.",,no,no,0,no,no,no,no,
<android.app.Activity: void finishAffinity()>,"Finish this activity as well as all activities immediately below it
 in the current task that have the same affinity.  This is typically
 used when an application can be launched on to another task (such as
 from an ACTION_VIEW of a content type it understands) and the user
 has used the up navigation to switch out of the current task and in
 to its own task.  In this case if the user has navigated down into
 any other activities of the second application all of those should
 be removed from the original task as part of the task switch. Note that this finish does not allow you to deliver results
 to the previous activity and an exception will be thrown if you are trying
 to do so.",,void,16,"An activity is a single focused thing that the user can do.  Almost all
 activities interact with the user so the Activity class takes care of
 creating a window for you in which you can place your UI with
  setContentView(View) .  While activities are often presented to the user
 as full-screen windows they can also be used in other ways: as floating
 windows (via a theme with  R.attr.windowIsFloating  set)
  
 Multi-Window mode  or embedded into other windows.

 There are two methods almost all subclasses of Activity will implement:

  onCreate(Bundle)  is where you initialize your activity.  Most
     importantly here you will usually call  setContentView(int) 
     with a layout resource defining your UI and using  findViewById(int) 
     to retrieve the widgets in that UI that you need to interact with
     programmatically.

      onPause()  is where you deal with the user pausing active
     interaction with the activity. Any changes made by the user should at
     this point be committed (usually to the
      ContentProvider  holding the data). In this
     state the activity is still visible on screen.
  To be of use with  Context.startActivity()  all
 activity classes must have a corresponding
  <activity> 
 declaration in their package's  AndroidManifest.xml . Topics covered here:
  Fragments Activity Lifecycle Configuration Changes Starting Activities and Getting Results Saving Persistent State Permissions Process Lifecycle","Contains high-level classes encapsulating the overall Android application model. An Android application is defined using one or more of Android's four core application
 components. Two such application components are defined in this package:  Activity  and  Service . The other two components are from the  android.content  package:  BroadcastReceiver  and  ContentProvider . An  Activity  is an application component that provides a screen with which
 users can interact in order to do something such as dial the phone take a photo send an email or
 view a map. An activity can start other activities including activities that live in separate
 applications. A  Service  is an application component that can perform
 long-running operations in the background without a user interface. For example a service
 can handle network transactions play music or work with a content provider without the user being
 aware of the work going on. The  Fragment  class is also an important part of an application's
 design—especially when designing for large screen devices such as tablets. A fragment defines
 a distinct part of an activity's behavior including the associated UI. It has its own lifecycle
 that is similar to that of the activity and can exist alongside other fragments that are embedded in
 the activity. While an activity is running you can add and remove fragments and include each
 fragment in a back stack that's managed by the activity—allowing the user to navigate
 backwards through the fragment states without leaving the activity. This package also defines application utilities such as dialogs notifications and the
 action bar. For information about using some the classes in this package see the following
 documents:  Activities   Services   Fragments   Using the Action Bar   Creating Dialogs  and  Notifying the User .",no,no,0,no,no,no,no,
<android.view.ViewPropertyAnimator: ViewPropertyAnimator scaleX(float)>,"This method will cause the View's scaleX property to be animated to the
 specified value. Animations already running on the property will be canceled.",value float : The value to be animated to. |||,ViewPropertyAnimator This object allowing calls to methods in this class to be chained. |||,12,"This class enables automatic and optimized animation of select properties on View objects.
 If only one or two properties on a View object are being animated then using an
  ObjectAnimator  is fine; the property setters called by ObjectAnimator
 are well equipped to do the right thing to set the property and invalidate the view
 appropriately. But if several properties are animated simultaneously or if you just want a
 more convenient syntax to animate a specific property then ViewPropertyAnimator might be
 more well-suited to the task.

  This class may provide better performance for several simultaneous animations because
 it will optimize invalidate calls to take place only once for several properties instead of each
 animated property independently causing its own invalidation. Also the syntax of using this
 class could be easier to use because the caller need only tell the View object which
 property to animate and the value to animate either to or by and this class handles the
 details of configuring the underlying Animator class and starting it. This class is not constructed by the caller but rather by the View whose properties
 it will animate. Calls to  View.animate()  will return a reference
 to the appropriate ViewPropertyAnimator object for that View.",,no,UI,0,no,no,no,no,
"<android.app.WallpaperManager: void setWallpaperOffsets(IBinder,float,float)>","Set the display position of the current wallpaper within any larger space when
 that wallpaper is visible behind the given window.  The X and Y offsets
 are floating point numbers ranging from 0 to 1 representing where the
 wallpaper should be positioned within the screen space.  These only
 make sense when the wallpaper is larger than the display.","windowToken IBinder : The window who these offsets should be associated
with as returned by View.getWindowToken() . |||
xOffset float : The offset along the X dimension from 0 to 1. |||
yOffset float : The offset along the Y dimension from 0 to 1. |||",void,5,"Provides access to the system wallpaper. With WallpaperManager you can
 get the current wallpaper get the desired dimensions for the wallpaper set
 the wallpaper and more.

   An app can check whether wallpapers are supported for the current user by calling
  isWallpaperSupported()  and whether setting of wallpapers is allowed by calling
  isSetWallpaperAllowed() .","Contains high-level classes encapsulating the overall Android application model. An Android application is defined using one or more of Android's four core application
 components. Two such application components are defined in this package:  Activity  and  Service . The other two components are from the  android.content  package:  BroadcastReceiver  and  ContentProvider . An  Activity  is an application component that provides a screen with which
 users can interact in order to do something such as dial the phone take a photo send an email or
 view a map. An activity can start other activities including activities that live in separate
 applications. A  Service  is an application component that can perform
 long-running operations in the background without a user interface. For example a service
 can handle network transactions play music or work with a content provider without the user being
 aware of the work going on. The  Fragment  class is also an important part of an application's
 design—especially when designing for large screen devices such as tablets. A fragment defines
 a distinct part of an activity's behavior including the associated UI. It has its own lifecycle
 that is similar to that of the activity and can exist alongside other fragments that are embedded in
 the activity. While an activity is running you can add and remove fragments and include each
 fragment in a back stack that's managed by the activity—allowing the user to navigate
 backwards through the fragment states without leaving the activity. This package also defines application utilities such as dialogs notifications and the
 action bar. For information about using some the classes in this package see the following
 documents:  Activities   Services   Fragments   Using the Action Bar   Creating Dialogs  and  Notifying the User .",no,UI,0,no,no,no,no,
<android.database.sqlite.SQLiteClosable: void releaseReference()>,"Releases a reference to the object closing the object if the last reference
 was released.",,void,1,"An object created from a SQLiteDatabase that can be closed.

 This class implements a primitive reference counting scheme for database objects.","If you need to manage data in a private database use the  android.database.sqlite  classes. These classes are used to manage the  Cursor  object returned from a content provider query. Databases
 are usually created and opened with  openOrCreateDatabase(String int SQLiteDatabase.CursorFactory) 
 To make requests through
 content providers you can use the  content.ContentResolver  class.
  All databases are stored on the device in  /data/data/<package_name>/databases",no,database,0,no,no,no,no,
<android.content.ContextWrapper: void sendStickyBroadcast(Intent)>,"This method is deprecated. Sticky broadcasts should not be used.  They provide no security (anyone
 can access them) no protection (anyone can modify them) and many other problems.
 The recommended pattern is to use a non-sticky broadcast to report that something has changed with another mechanism for apps to retrieve the current value whenever
 desired. Perform a sendBroadcast(android.content.Intent) that is ""sticky"" meaning the
 Intent you are sending stays around after the broadcast is complete
 so that others can quickly retrieve that data through the return
 value of registerReceiver(android.content.BroadcastReceiver android.content.IntentFilter) .  In
 all other ways this behaves the same as sendBroadcast(android.content.Intent) . Requires Manifest.permission.BROADCAST_STICKY","intent Intent : The Intent to broadcast; all receivers matching this
Intent will receive the broadcast and the Intent will be held to
be re-broadcast to future receivers. |||",void,1,"Proxying implementation of Context that simply delegates all of its calls to
 another Context.  Can be subclassed to modify behavior without changing
 the original Context.","Contains classes for accessing and publishing data on a device.  It includes three main
 categories of APIs: Content sharing ( android.content ) For sharing content between application components. The most important classes are:
      ContentProvider  and  ContentResolver 
   for managing and publishing persistent data associated with an application. Intent  and  IntentFilter  for delivering
   structured messages between different application components—allowing components to initiate
   other components and return results. Package management ( android.content.pm ) For accessing information about an Android package (an  .apk ) including information
 about its activities permissions services signatures and providers. The most important class for
 accessing this information is  PackageManager . Resource management ( android.content.res ) For retrieving resource data associated with an application such as strings drawables
 media and device configuration details. The most important class for accessing this data is  Resources .",IPC,IPC,1,no,yes,no,SINK,
