,SS GroundT,Cat GroundT,Description,Return,Parameters,ApiLevel
<android.icu.text.Bidi: boolean isLeftToRight()>,,,"Return true if the line is all left-to-right text and the base direction
 is left-to-right.","boolean true if the line is all left-to-right text and the base direction
         is left-to-right. |||",,29.0
"<android.se.omapi.Session: Channel openBasicChannel(byte,byte)>",,,"Get an access to the basic channel as defined in the ISO/IEC 7816-4 specification (the
 one that has number 0). The obtained object is an instance of the Channel class.
 If the AID is null it means no Applet is to be selected on this channel and the default
 Applet is used. If the AID is defined then the corresponding Applet is selected.
 Once this channel has been opened by a device application it is considered as ""locked""
 by this device application and other calls to this method will return null until the
 channel is closed. Some Secure Elements (like the UICC) might always keep the basic channel
 locked (i.e. return null to applications) to prevent access to the basic channel while
 some other might return a channel object implementing some kind of filtering on the
 commands restricting the set of accepted command to a smaller set.
 It is recommended for the UICC to reject the opening of the basic channel to a specific
 applet by always answering null to such a request.
 For other Secure Elements the recommendation is to accept opening the basic channel
 on the default applet until another applet is selected on the basic channel. As there is no
 other way than a reset to select again the default applet the implementation of the
 transport API should guarantee that the openBasicChannel(null) command will return
 null until a reset occurs.
 With previous release (V2.05) it was not possible to set P2 value this value was always
 set to '00'.Except for specific needs it is recommended to keep P2 to '00'. It is
 recommended that the device allows all values for P2 however only the following values
 are mandatory: '00' '04' '08' '0C'(as defined in [2])
 The implementation of the underlying SELECT command within this method shall be
 based on ISO 7816-4 with following options: CLA = '00' 
INS = 'A4' 
P1 = '04' (Select by DF name/application identifier)",Channel an instance of Channel if available or null. |||,"aid byte : the AID of the Applet to be selected on this channel as a
byte array or null if no Applet is to be selected.
This value may be null . |||
p2 byte : the P2 parameter of the SELECT APDU executed on this channel.
This value may be null . |||",28.0
<android.telephony.NetworkScanRequest: ArrayList getPlmns()>,,,"Returns the List of PLMN ids (MCC-MNC) for early termination of scan.
 If any PLMN of this list is found search should end at that point and
 results with all PLMN found till that point should be sent as response.",ArrayList < String > |||,,28.0
<android.media.AudioPresentation.Builder: AudioPresentation.Builder setLabels(Map)>,,,Sets locale / text label pairs describing the presentation.,AudioPresentation.Builder This value will never be null . |||,"labels Map : Text label indexed by its locale corresponding to the language code.
This value must never be null . |||",29.0
<android.telephony.TelephonyManager: String getManufacturerCode()>,,,"Returns the Manufacturer Code from the MEID. Return null if Manufacturer Code is not
 available.",String |||,,29.0
<android.net.wifi.WifiInfo: String getPasspointFqdn()>,,,"Returns the Fully Qualified Domain Name of the network if it is a Passpoint network. The FQDN may be null if no network currently connected currently connected network is not
 passpoint network or the caller has insufficient permissions to access the FQDN.",String |||,,29.0
<android.media.audiofx.DynamicsProcessing.BandBase: boolean isEnabled()>,,,returns enabled state of the band,boolean true if bands is enabled for processing false otherwise |||,,28.0
<android.os.BatteryManager: long computeChargeTimeRemaining()>,,,"Compute an approximation for how much time (in milliseconds) remains until the battery is
 fully charged. Returns -1 if no time can be computed: either there is not enough current
 data to make a decision or the battery is currently discharging.","long how much time is left in milliseconds until the battery is fully charged or -1 if
         the computation fails |||",,28.0
<android.view.textclassifier.ConversationActions.Message: Bundle getExtras()>,,,Returns the extended data related to this conversation action. NOTE: Do not modify this bundle.,Bundle This value will never be null . |||,,29.0
"<android.content.pm.PackageManager: boolean hasSigningCertificate(int,byte,int)>",,,"Searches the set of signing certificates by which the package(s) for the given uid has proven
 to have been signed.  For multiple packages sharing the same uid this will return the
 signing certificates found in the signing history of the ""newest"" package where ""newest""
 indicates the package with the newest signing certificate in the shared uid group.  This
 method should be used instead of getPackageInfo with GET_SIGNATURES since it takes into account the possibility of signing certificate rotation except in the
 case of packages that are signed by multiple certificates for which signing certificate
 rotation is not supported. This method is analogous to using getPackagesForUid followed by getPackageInfo with GET_SIGNING_CERTIFICATES selecting the PackageInfo of the newest-signed bpackage  and finally searching through the
 resulting signingInfo field to see if the desired certificate is there.",boolean true if this package was or is signed by exactly the certificate certificate |||,"uid int : uid whose signing certificates to check |||
certificate byte : signing certificate for which to search
This value must never be null . |||
type int : representation of the certificate Value is CERT_INPUT_RAW_X509 or CERT_INPUT_SHA256 |||",28.0
<android.telephony.TelephonyScanManager.NetworkScanCallback: void onResults(List)>,,,Returns the scan results to the user this callback will be called multiple times.,void,results List |||,28.0
"<android.media.MediaFormat: String getString(String,String)>",,,Returns the value of an string key or the default value if the key is missing.,String defaultValue if the key does not exist or the stored value for the key is null |||,"name String : This value must never be null . |||
defaultValue String : This value must never be null . |||",29.0
<android.telephony.data.ApnSetting: String getApnName()>,,,Returns the name of the APN.,String APN name |||,,28.0
"<android.inputmethodservice.InputMethodService: void switchInputMethod(String,InputMethodSubtype)>",,,"Force switch to a new input method as identified by id .  This
 input method will be destroyed and the requested one started on the
 current input field.",void,"id String : Unique identifier of the new input method to start. |||
subtype InputMethodSubtype : The new subtype of the new input method to be switched to. |||",28.0
<android.os.PowerManager: void addThermalStatusListener(PowerManager.OnThermalStatusChangedListener)>,,,"This function adds a listener for thermal status change listen call back will be
 enqueued tasks on the main thread",void,"listener PowerManager.OnThermalStatusChangedListener : listener to be added
This value must never be null . |||",29.0
<android.telephony.CellInfoNr: CellSignalStrength getCellSignalStrength()>,,,,"CellSignalStrength a CellSignalStrengthNr instance.
 
 This value will never be null . |||",,29.0
<android.view.textclassifier.ConversationActions.Message.Builder: ConversationActions.Message build()>,,,Builds the Message object.,ConversationActions.Message This value will never be null . |||,,29.0
<android.icu.text.Bidi: int getReorderingOptions()>,,,What are the reordering options applied to a given Bidi object?,int the current reordering options of the Bidi object |||,,29.0
"<android.icu.text.Transliterator: Transliterator getInstance(String,int)>",,,"Returns a Transliterator object given its ID.
 The ID must be a system transliterator ID.",Transliterator A Transliterator object with the given ID |||,"ID String : a valid ID as enumerated by getAvailableIDs() |||
dir int : either FORWARD or REVERSE.  If REVERSE then the
inverse of the given ID is instantiated. |||",29.0
<android.webkit.TracingConfig: int getTracingMode()>,,,Returns the tracing mode of this configuration.,"int The tracing mode of this configuration.
 
 Value is RECORD_UNTIL_FULL or RECORD_CONTINUOUSLY |||",,28.0
<android.app.slice.SliceManager: void unpinSlice(Uri)>,,,"Remove a pin for a slice. If the slice has no other pins/callbacks then the slice will be unpinned. This may only be called by apps that are the default launcher for the device
 or the default voice interaction service. Otherwise will throw SecurityException .",void,"uri Uri : The uri of the slice being unpinned.
This value must never be null . |||",28.0
<android.view.View: void setTransitionVisibility(int)>,,,"Changes the visibility of this View without triggering any other changes. This should only
 be used by animation frameworks such as Transition where
 visibility changes should not adjust focus or trigger a new layout. Application developers
 should use setVisibility(int) instead to ensure that the hierarchy is correctly updated. Only call this method when a temporary visibility must be applied during an
 animation and the original visibility value is guaranteed to be reset after the
 animation completes. Use setVisibility(int) in all other cases.",void,"visibility int : One of VISIBLE  INVISIBLE or GONE .
Value is VISIBLE  INVISIBLE or GONE |||",29.0
<android.media.MediaDrm: void clearOnSessionLostStateListener()>,,,Clear the OnSessionLostStateListener .,void,,29.0
"<android.telephony.SubscriptionPlan.Builder: SubscriptionPlan.Builder createNonrecurring(ZonedDateTime,ZonedDateTime)>",,,"Start defining a SubscriptionPlan that covers a very specific
 window of time and never automatically recurs.",SubscriptionPlan.Builder |||,"start ZonedDateTime : The exact time at which the plan starts. |||
end ZonedDateTime : The exact time at which the plan ends. |||",28.0
"<android.bluetooth.BluetoothHidDevice.Callback: void onInterruptData(BluetoothDevice,byte,byte)>",,,"Callback called when report data is received over interrupt channel. Report Type is
 assumed to be BluetoothHidDevice#REPORT_TYPE_OUTPUT .",void,"device BluetoothDevice |||
reportId byte : Report Id. |||
data byte : Report data. |||",28.0
<android.graphics.RenderNode: boolean setTranslationZ(float)>,,,Sets the translation value for the display list on the Z axis.,boolean True if the value changed false if the new value was the same as the previous value. |||,translationZ float |||,29.0
<android.database.sqlite.SQLiteCursor: void setFillWindowForwardOnly(boolean)>,,,"Controls fetching of rows relative to requested position. Calling this method defines how rows will be loaded but it doesn't affect rows that
 are already in the window. This setting is preserved if a new window is set",void,"fillWindowForwardOnly boolean : if true rows will be fetched starting from requested position
up to the window's capacity. Default value is false. |||",28.0
<android.provider.Telephony.CarrierId: Uri getUriForSubscriptionId(int)>,,,"Generates a content Uri used to receive updates on carrier identity change
 on the given subscriptionId Use this Uri with a ContentObserver to be notified of changes to the
 carrier identity TelephonyManager#getSimCarrierId() while your app is running. You can also use a JobService to ensure your app
 is notified of changes to the Uri even when it is not running.
 Note however that using a JobService does not guarantee
 timely delivery of updates to the Uri .",Uri the Uri used to observe carrier identity changes |||,subscriptionId int : the subscriptionId to receive updates on |||,28.0
<android.net.wifi.WifiNetworkSuggestion.Builder: WifiNetworkSuggestion.Builder setIsAppInteractionRequired(boolean)>,,,"Specifies whether the app needs to log in to a captive portal to obtain Internet access. This will dictate if the directed broadcast WifiManager#ACTION_WIFI_NETWORK_SUGGESTION_POST_CONNECTION will be sent to the
 app after successfully connecting to the network.
 Use this for captive portal type networks where the app needs to authenticate the user
 before the device can access the network.","WifiNetworkSuggestion.Builder Instance of Builder to enable chaining of the builder method.
 
 This value will never be null . |||","isAppInteractionRequired boolean : true to indicate that app interaction is
required false otherwise. |||",29.0
<android.media.session.MediaController.PlaybackInfo: int describeContents()>,,,"Describe the kinds of special objects contained in this Parcelable
 instance's marshaled representation. For example if the object will
 include a file descriptor in the output of writeToParcel(android.os.Parcel int) the return value of this method must include the CONTENTS_FILE_DESCRIPTOR bit.","int a bitmask indicating the set of special object types marshaled
 by this Parcelable object instance.
 
 Value is either 0 or CONTENTS_FILE_DESCRIPTOR |||",,29.0
<android.app.assist.AssistStructure.ViewNode: String getWebScheme()>,,,"Returns the scheme of the HTML document represented by this view. Typically used when the view associated with the view is a container for an HTML
 document.","String scheme-only part of the document. For example if the full URL is https://example.com/login?user=my_user it returns https .
 
 This value may be null . |||",,28.0
<android.graphics.RenderNode: boolean setCameraDistance(float)>,,,"Sets the distance along the Z axis (orthogonal to the X/Y plane on which
 RenderNodes are drawn) from the camera to this RenderNode. The camera's distance
 affects 3D transformations for instance rotations around the X and Y
 axis. If the rotationX or rotationY properties are changed and this view is
 large (more than half the size of the screen) it is recommended to always
 use a camera distance that's greater than the height (X axis rotation) or
 the width (Y axis rotation) of this view. The distance of the camera from the drawing plane can have an affect on the
 perspective distortion of the RenderNode when it is rotated around the x or y axis.
 For example a large distance will result in a large viewing angle and there
 will not be much perspective distortion of the view as it rotates. A short
 distance may cause much more perspective distortion upon rotation and can
 also result in some drawing artifacts if the rotated view ends up partially
 behind the camera (which is why the recommendation is to use a distance at
 least as far as the size of the view if the view is to be rotated.) The distance is expressed in pixels and must always be positive",boolean True if the value changed false if the new value was the same as the previous value. |||,"distance float : The distance in pixels must always be positive
Value is between 0.0f and Float.MAX_VALUE inclusive |||",29.0
"<android.text.PrecomputedText: void setSpan(Object,int,int,int)>",,,"Attach the specified markup object to the range start…end of the text or move the object to that range if it was already
 attached elsewhere.  See Spanned for an explanation of
 what the flags mean.  The object can be one that has meaning only
 within your application or it can be one that the text system will
 use to affect text display or behavior.  Some noteworthy ones are
 the subclasses of CharacterStyle and ParagraphStyle and TextWatcher and SpanWatcher .",void,"what Object |||
start int |||
end int |||
flags int |||",28.0
"<android.graphics.Paint: float getTextRunAdvances(char,int,int,int,int,boolean,float,int)>",,,"Retrieve the character advances of the text.

 Returns the total advance width for the characters in the run from index for count of chars and if advances is not null the advance assigned to each of
 these characters (java chars). The trailing surrogate in a valid surrogate pair is assigned an advance of 0.  Thus the
 number of returned advances is always equal to count not to the number of unicode codepoints
 represented by the run. In the case of conjuncts or combining marks the total advance is assigned to the first
 logical character and the following characters are assigned an advance of 0. This generates the sum of the advances of glyphs for characters in a reordered cluster as the
 width of the first logical character in the cluster and 0 for the widths of all other
 characters in the cluster.  In effect such clusters are treated like conjuncts. The shaping bounds limit the amount of context available outside start and end that can be
 used for shaping analysis.  These bounds typically reflect changes in bidi level or font
 metrics across which shaping does not occur.",float the total advance in pixels |||,"chars char : the text to measure.
This value must never be null . |||
index int : the index of the first character to measure
Value is 0 or greater |||
count int : the number of characters to measure
Value is 0 or greater |||
contextIndex int : the index of the first character to use for shaping context.
Context must cover the measureing target.
Value is 0 or greater |||
contextCount int : the number of character to use for shaping context.
Context must cover the measureing target.
Value is 0 or greater |||
isRtl boolean : whether the run is in RTL direction |||
advances float : array to receive the advances must have room for all advances.
This can be null if only total advance is needed
This value may be null . |||
advancesIndex int : the position in advances at which to put the advance corresponding to
the character at start
Value is 0 or greater |||",29.0
<android.security.keystore.KeyGenParameterSpec: boolean isStrongBoxBacked()>,,,Returns true if the key is protected by a Strongbox security chip.,boolean |||,,28.0
<android.media.audiofx.DynamicsProcessing.Config: DynamicsProcessing.Eq getPostEqByChannelIndex(int)>,,,,DynamicsProcessing.Eq |||,channelIndex int |||,28.0
<android.graphics.RenderNode: boolean resetPivot()>,,,"Clears any pivot previously set by a call to setPivotX(float) or setPivotY(float) . After calling this isPivotExplicitlySet() will be false
 and the pivot used for rotation will return to default of being centered on the view.",boolean True if the value changed false if the new value was the same as the previous value. |||,,29.0
<android.app.Notification.Builder: Notification.Builder setAllowSystemGeneratedContextualActions(boolean)>,,,"Determines whether the platform can generate contextual actions for a notification.
 By default this is true.",Notification.Builder This value will never be null . |||,allowed boolean |||,29.0
<android.telephony.euicc.EuiccManager: boolean isEnabled()>,,,"Whether embedded subscriptions are currently enabled. Even on devices with the PackageManager#FEATURE_TELEPHONY_EUICC feature embedded
 subscriptions may be turned off e.g. because of a carrier restriction from an inserted
 physical SIM. Therefore this runtime check should be used before accessing embedded
 subscription APIs.",boolean true if embedded subscriptions are currently enabled. |||,,28.0
<android.widget.AbsSeekBar: void setSystemGestureExclusionRects(List)>,,,"Sets a list of areas within this view's post-layout coordinate space where the system
 should not intercept touch or other pointing device gestures. This method should
 be called by onLayout(boolean int int int int) or onDraw(android.graphics.Canvas) . Use this to tell the system which specific sub-areas of a view need to receive gesture
 input in order to function correctly in the presence of global system gestures that may
 conflict. For example if the system wishes to capture swipe-in-from-screen-edge gestures
 to provide system-level navigation functionality a view such as a navigation drawer
 container can mark the left (or starting) edge of itself as requiring gesture capture
 priority using this API. The system may then choose to relax its own gesture recognition
 to allow the app to consume the user's gesture. It is not necessary for an app to register
 exclusion rects for broadly spanning regions such as the entirety of a ScrollView or for simple press and release click targets such as Button . Mark an exclusion rect when interacting with a view requires
 a precision touch gesture in a small area in either the X or Y dimension such as
 an edge swipe or dragging a SeekBar thumb. Do not modify the provided list after this method is called. Note: the system will put a limit of 200dp on the vertical extent of the
 exclusions it takes into account. The limit does not apply while the navigation
 bar is stickily hidden nor to the input method and Intent#CATEGORY_HOME .",void,rects List : This value must never be null . |||,29.0
<android.bluetooth.BluetoothHidDeviceAppQosSettings: int getLatency()>,,,,int |||,,28.0
<android.view.ViewConfiguration: int getScaledHoverSlop()>,,,,"int Distance in pixels a hover can wander while it is still considered ""stationary"". |||",,28.0
"<android.telephony.PhoneNumberUtils: String calledPartyBCDToString(byte,int,int,int)>",,,"3GPP TS 24.008 10.5.4.7
  Called Party BCD Number

  See Also TS 51.011 10.5.1 ""dialing number/ssc string""
  and TS 11.11 ""10.3.1 EF adn (Abbreviated dialing numbers)""",String |||,"bytes byte : the data buffer |||
offset int : should point to the TOA (aka. TON/NPI) octet after the length byte |||
length int : is the number of bytes including TOA byte
and must be at least 2 |||
bcdExtType int : used to determine the extended bcd coding
Value is BCD_EXTENDED_TYPE_EF_ADN or BCD_EXTENDED_TYPE_CALLED_PARTY |||",28.0
<android.content.pm.PackageInstaller.Session: int getParentSessionId()>,,,,int the session ID of the multi-package session that this belongs to or SessionInfo#INVALID_ID if it does not belong to a multi-package session. |||,,29.0
"<android.app.slice.SliceProvider: void attachInfo(Context,ProviderInfo)>",,,"After being instantiated this is called to tell the content provider
 about itself.",void,"context Context : The context this provider is running in |||
info ProviderInfo : Registered information about this content provider |||",28.0
"<android.test.mock.MockContext: void updateServiceGroup(ServiceConnection,int,int)>",,,"For a service previously bound with bindService(Intent ServiceConnection int) or a related method change
 how the system manages that service's process in relation to other processes.  This
 doesn't modify the original bind flags that were passed in when binding but adjusts
 how the process will be managed in some cases based on those flags.  Currently only
 works on isolated processes (will be ignored for non-isolated processes). Note that this call does not take immediate effect but will be applied the next
 time the impacted process is adjusted for some other reason.  Typically you would
 call this before then calling a new bindIsolatedService(Intent int String Executor ServiceConnection) on the service
 of interest with that binding causing the process to be shuffled accordingly.",void,"conn ServiceConnection : The connection interface previously supplied to bindService().  This
parameter must not be null.
This value must never be null . |||
group int : A group to put this connection's process in.  Upon calling here this
will override any previous group that was set for that process.  The group
tells the system about processes that are logically grouped together so
should be managed as one unit of importance (such as when being considered
a recently used app).  All processes in the same app with the same group
are considered to be related.  Supplying 0 reverts to the default behavior
of not grouping. |||
importance int : Additional importance of the processes within a group.  Upon calling
here this will override any previous importance that was set for that
process.  The most important process is 0 and higher values are
successively less important.  You can view this as describing how
to order the processes in an array with the processes at the end of
the array being the least important.  This value has no meaning besides
indicating how processes should be ordered in that array one after the
other.  This provides a way to fine-tune the system's process killing
guiding it to kill processes at the end of the array first. |||",29.0
<android.telephony.TelephonyManager: int getCarrierIdFromSimMccMnc()>,,,"Returns carrier id based on sim MCCMNC (returned by getSimOperator() ) only.
 This is used for fallback when configurations/logic for exact carrier id getSimCarrierId() are not found.

 Android carrier id table here can be updated out-of-band its possible a MVNO (Mobile Virtual Network Operator) carrier
 was not fully recognized and assigned to its MNO (Mobile Network Operator) carrier id
 by default. After carrier id table update a new carrier id was assigned. If apps don't
 take the update with the new id it might be helpful to always fallback by using carrier
 id based on MCCMNC if there is no match.","int matching carrier id from sim MCCMNC. Return UNKNOWN_CARRIER_ID if the
 subscription is unavailable or the carrier cannot be identified. |||",,29.0
<android.media.AudioTrack: int getOffloadPadding()>,,,"Return the decoder padding of an offloaded track expressed in frames previously set with setOffloadDelayPadding(int int) or 0 if it was never modified. This padding indicates the number of frames to be ignored at the end of the stream.
 This value can only be queried on a track successfully initialized with AudioTrack.Builder#setOffloadedPlayback(boolean) .","int decoder padding expressed in frames.
 
 Value is 0 or greater |||",,29.0
<android.media.audiofx.DynamicsProcessing: void setPostEqAllChannelsTo(DynamicsProcessing.Eq)>,,,,void,postEq DynamicsProcessing.Eq |||,28.0
<android.graphics.RenderNode: long getUniqueId()>,,,"Returns the unique ID that identifies this RenderNode. This ID is unique for the
 lifetime of the process. IDs are reset on process death and are unique only within
 the process.

 This ID is intended to be used with debugging tools to associate a particular
 RenderNode across different debug dumping & inspection tools. For example
 a View layout inspector should include the unique ID for any RenderNodes that it owns
 to associate the drawing content with the layout content.",long the unique ID for this RenderNode |||,,29.0
<android.net.LinkProperties: void setLinkAddresses(Collection)>,,,"Replaces the LinkAddress in this LinkProperties with
 the given Collection of LinkAddress .",void,"addresses Collection : The Collection of LinkAddress to set in this
object.
This value must never be null . |||",29.0
<android.media.audiofx.DynamicsProcessing.Config.Builder: DynamicsProcessing.Config.Builder setPostEqAllChannelsTo(DynamicsProcessing.Eq)>,,,,DynamicsProcessing.Config.Builder |||,postEq DynamicsProcessing.Eq |||,28.0
<android.widget.TextView: BlendMode getCompoundDrawableTintBlendMode()>,,,"Returns the blending mode used to apply the tint to the compound
 drawables if specified. Related XML Attributes: android:drawableTintMode","BlendMode the blending mode used to apply the tint to the compound
         drawables
 This value may be null . |||",,29.0
<android.hardware.camera2.params.SessionConfiguration: void setInputConfiguration(InputConfiguration)>,,,"Sets the InputConfiguration for a reprocessable session. Input configuration are not
 supported for SESSION_HIGH_SPEED .",void,"input InputConfiguration : Input configuration.
This value must never be null . |||",28.0
<android.view.textclassifier.SelectionEvent: long getDurationSinceSessionStart()>,,,"Returns the duration in ms between when this event was triggered and when the first event in
 the selection session was triggered.",long |||,,28.0
"<android.app.DirectAction: void writeToParcel(Parcel,int)>",,,Flatten this object in to a Parcel.,void,"dest Parcel : The Parcel in which the object should be written. |||
flags int : Additional flags about how the object should be written.
May be 0 or Parcelable.PARCELABLE_WRITE_RETURN_VALUE .
Value is either 0 or a combination of Parcelable.PARCELABLE_WRITE_RETURN_VALUE and android.os.Parcelable.PARCELABLE_ELIDE_DUPLICATES |||",29.0
<android.telephony.data.ApnSetting: int getAuthType()>,,,Returns the authentication type of the APN.,"int authentication type
 
 Value is AUTH_TYPE_NONE  AUTH_TYPE_PAP  AUTH_TYPE_CHAP or AUTH_TYPE_PAP_OR_CHAP |||",,28.0
<android.graphics.drawable.AnimatedImageDrawable: void setColorFilter(ColorFilter)>,,,"Specify an optional color filter for the drawable. If a Drawable has a ColorFilter each output pixel of the Drawable's
 drawing contents will be modified by the color filter before it is
 blended onto the render target of a Canvas. Pass null to remove any existing color filter. Note: Setting a non- null color
 filter disables tint .",void,colorFilter ColorFilter : This value may be null . |||,28.0
<android.media.MediaCodecInfo.VideoCapabilities.PerformancePoint: boolean covers(MediaCodecInfo.VideoCapabilities.PerformancePoint)>,,,"Checks whether the performance point covers another performance point. Use this
 method to determine if a performance point advertised by a codec covers the
 performance point required. This method can also be used for loose ordering as this
 method is transitive.",boolean true if the performance point covers the other. |||,"other MediaCodecInfo.VideoCapabilities.PerformancePoint : other performance point considered
This value must never be null . |||",29.0
<android.app.usage.UsageStats: long getTotalTimeForegroundServiceUsed()>,,,Get the total time this package's foreground services are started measured in milliseconds.,long |||,,29.0
<android.net.IpSecTransform.Builder: IpSecTransform.Builder setAuthentication(IpSecAlgorithm)>,,,Set the authentication (integrity) algorithm. Authentication is mutually exclusive with authenticated encryption.,IpSecTransform.Builder This value will never be null . |||,"algo IpSecAlgorithm : IpSecAlgorithm specifying the authentication to be applied.
This value must never be null . |||",28.0
<android.icu.text.Bidi: boolean isMixed()>,,,"Return true if the line is not left-to-right or right-to-left. This means
 it either has mixed runs of left-to-right and right-to-left text or the
 base direction differs from the direction of the only run of text.",boolean true if the line is not left-to-right or right-to-left. |||,,29.0
"<android.view.SurfaceControl.Transaction: SurfaceControl.Transaction setAlpha(SurfaceControl,float)>",,,"Set the alpha for a given surface. If the alpha is non-zero the SurfaceControl
 will be blended with the Surfaces under it according to the specified ratio.",SurfaceControl.Transaction This value will never be null . |||,"sc SurfaceControl : The given SurfaceControl.
This value must never be null . |||
alpha float : The alpha to set.
Value is between 0.0 and 1.0 inclusive |||",29.0
<android.text.PrecomputedText.Params: TextDirectionHeuristic getTextDirection()>,,,Returns the TextDirectionHeuristic for this text.,TextDirectionHeuristic A TextDirectionHeuristic This value will never be null . |||,,28.0
<android.media.audiofx.DynamicsProcessing.MbcBand: void setAttackTime(float)>,,,sets attack time for compressor in milliseconds (ms),void,attackTime float : desired for compressor in milliseconds (ms) |||,28.0
