,SS GroundT,Cat GroundT,Description,Return,Parameters,ApiLevel
"<android.app.admin.DeviceAdminReceiver: void onUserSwitched(Context,Intent,UserHandle)>",2,,Called when a user or profile is switched to. This callback is only applicable to device owners.,void,"context Context : The running context as per onReceive(Context Intent) .
This value must never be null . |||
intent Intent : The received intent as per onReceive(Context Intent) .
This value must never be null . |||
switchedUser UserHandle : The UserHandle of the user that has just been switched to.
This value must never be null . |||",28
"<android.app.admin.DevicePolicyManager: AttestedKeyPair generateKeyPair(ComponentName,String,KeyGenParameterSpec,int)>",3,,"Called by a device or profile owner or delegated certificate installer to generate a
 new private/public key pair. If the device supports key generation via secure hardware
 this method is useful for creating a key in KeyChain that never left the secure hardware.
 Access to the key is controlled the same way as in installKeyPair(ComponentName PrivateKey Certificate String) . Because this method might take several seconds to complete it should only be called from
 a worker thread. This method returns null when called from the main thread. Note: If the provided alias is of an existing alias all former grants that apps
 have been given to access the key and certificates associated with this alias will be
 revoked. Attestation: to enable attestation set an attestation challenge in keySpec via KeyGenParameterSpec.Builder#setAttestationChallenge . By specifying flags to the idAttestationFlags parameter it is possible to request the device's unique
 identity to be included in the attestation record. Specific identifiers can be included in the attestation record and an individual
 attestation certificate can be used to sign the attestation record. To find out if the device
 supports these features refer to isDeviceIdAttestationSupported() and isUniqueDeviceAttestationSupported() . Device owner profile owner and their delegated certificate installer can use ID_TYPE_BASE_INFO to request inclusion of the general device information
 including manufacturer model brand device and product in the attestation record.
 Only device owner profile owner on an organization-owned device and their delegated
 certificate installers can use ID_TYPE_SERIAL  ID_TYPE_IMEI and ID_TYPE_MEID to request unique device identifiers to be attested (the serial number
 IMEI and MEID correspondingly) if supported by the device
 (see isDeviceIdAttestationSupported() ).
 Additionally device owner profile owner on an organization-owned device and their delegated
 certificate installers can also request the attestation record to be signed using an
 individual attestation certificate by specifying the ID_TYPE_INDIVIDUAL_ATTESTATION flag (if supported by the device see isUniqueDeviceAttestationSupported() ). If any of ID_TYPE_SERIAL  ID_TYPE_IMEI and ID_TYPE_MEID is set it is implicitly assumed that ID_TYPE_BASE_INFO is also set. Attestation using ID_TYPE_INDIVIDUAL_ATTESTATION can only be requested if
 key generation is done in StrongBox.",AttestedKeyPair A non-null AttestedKeyPair if the key generation succeeded null otherwise. |||,"admin ComponentName : Which DeviceAdminReceiver this request is associated with or null if calling from a delegated certificate installer.
This value may be null . |||
algorithm String : The key generation algorithm see KeyPairGenerator .
This value must never be null . |||
keySpec KeyGenParameterSpec : Specification of the key to generate see KeyPairGenerator .
This value must never be null . |||
idAttestationFlags int : A bitmask of the identifiers that should be included in the
attestation record ( ID_TYPE_BASE_INFO  ID_TYPE_SERIAL  ID_TYPE_IMEI and ID_TYPE_MEID ) and ID_TYPE_INDIVIDUAL_ATTESTATION if the attestation record should be signed
using an individual attestation certificate. 0 should be passed in if no device identification is required in the
attestation record and the batch attestation certificate should be used. If any flag is specified then an attestation challenge must be included in the keySpec .
Value is either 0 or a combination of ID_TYPE_BASE_INFO  ID_TYPE_SERIAL  ID_TYPE_IMEI  ID_TYPE_MEID and ID_TYPE_INDIVIDUAL_ATTESTATION |||",28
<android.app.admin.DevicePolicyManager: boolean isAlwaysOnVpnLockdownEnabled(ComponentName)>,3,,"Called by device or profile owner to query whether current always-on VPN is configured in
 lockdown mode. Returns false when no always-on configuration is set.",boolean |||,"admin ComponentName : Which DeviceAdminReceiver this request is associated with.
This value must never be null . |||",29
<android.app.admin.DevicePolicyManager: boolean isDeviceIdAttestationSupported()>,1,,"Returns true if the device supports attestation of device identifiers in addition
 to key attestation. See generateKeyPair(android.content.ComponentName java.lang.String android.security.keystore.KeyGenParameterSpec int)",boolean true if Device ID attestation is supported. |||,,28
"<android.app.admin.DevicePolicyManager: boolean setTimeZone(ComponentName,String)>",3,,"Called by a device owner or a profile owner of an organization-owned managed
 profile to set the system's persistent default time zone. This only takes
 effect if called when Settings.Global.AUTO_TIME_ZONE is 0 otherwise false will be returned.",boolean true if set timezone succeeded false otherwise. |||,"admin ComponentName : Which DeviceAdminReceiver this request is associated with
This value must never be null . |||
timeZone String : one of the Olson ids from the list returned by TimeZone.getAvailableIDs() |||",28
"<android.app.admin.DevicePolicyManager: boolean updateOverrideApn(ComponentName,int,ApnSetting)>",3,,"Called by device owner to update an override APN. This method may returns false if there is no override APN with the given apnId . This method may also returns false if apnSetting conflicts with an
 existing override APN. Update the existing conflicted APN instead. See addOverrideApn(ComponentName ApnSetting) for the definition of conflict.",boolean true if the required override APN is successfully updated false otherwise. |||,"admin ComponentName : which DeviceAdminReceiver this request is associated with
This value must never be null . |||
apnId int : the id of the override APN to update |||
apnSetting ApnSetting : the override APN to update
This value must never be null . |||",28
"<android.app.admin.DevicePolicyManager: int addOverrideApn(ComponentName,ApnSetting)>",2,,"Called by device owner to add an override APN. This method may returns -1 if apnSetting conflicts with an existing
 override APN. Update the existing conflicted APN with updateOverrideApn(android.content.ComponentName int android.telephony.data.ApnSetting) instead of adding a new entry. Two override APNs are considered to conflict when all the following APIs return
 the same values on both override APNs: ApnSetting#getOperatorNumeric() 
ApnSetting#getApnName() 
ApnSetting#getProxyAddressAsString() 
ApnSetting#getProxyPort() 
ApnSetting#getMmsProxyAddressAsString() 
ApnSetting#getMmsProxyPort() 
ApnSetting#getMmsc() 
ApnSetting#isEnabled() 
ApnSetting#getMvnoType() 
ApnSetting#getProtocol() 
ApnSetting#getRoamingProtocol()","int The id of inserted override APN. Or -1 when failed to insert into
         the database. |||","admin ComponentName : which DeviceAdminReceiver this request is associated with
This value must never be null . |||
apnSetting ApnSetting : the override APN to insert
This value must never be null . |||",28
<android.app.admin.DevicePolicyManager: List getOverrideApns(ComponentName)>,,,Called by device owner to get all override APNs inserted by device owner.,List < ApnSetting > A list of override APNs inserted by device owner. |||,"admin ComponentName : which DeviceAdminReceiver this request is associated with
This value must never be null . |||",28
<android.app.admin.DevicePolicyManager: String getGlobalPrivateDnsHost(ComponentName)>,,,Returns the system-wide Private DNS host.,String The hostname used for Private DNS queries null if none is set. |||,"admin ComponentName : which DeviceAdminReceiver this request is associated with.
This value must never be null . |||",29
"<android.app.admin.DevicePolicyManager: void setAlwaysOnVpnPackage(ComponentName,String,boolean,Set)>",,,"A version of setAlwaysOnVpnPackage(android.content.ComponentName java.lang.String boolean) that allows the
 admin to specify a set of apps that should be able to access the network directly when VPN
 is not connected. When VPN connects these apps switch over to VPN if allowed to use that VPN.
 System apps can always bypass VPN. Note that the system doesn't update the whitelist when packages are installed or
 uninstalled the admin app must call this method to keep the list up to date. When lockdownEnabled is false lockdownWhitelist is ignored . When lockdownEnabled is true and lockdownWhitelist is null or
 empty only system apps can bypass VPN. Setting always-on VPN package to null or using setAlwaysOnVpnPackage(android.content.ComponentName java.lang.String boolean) clears lockdown whitelist.",void,"admin ComponentName : This value must never be null . |||
vpnPackage String : package name for an installed VPN app on the device or null to remove an existing always-on VPN configuration
This value may be null . |||
lockdownEnabled boolean : true to disallow networking when the VPN is not connected or false otherwise. This has no effect when clearing. |||
lockdownWhitelist Set : Packages that will be able to access the network directly when VPN
is in lockdown mode but not connected. Has no effect when clearing.
This value may be null . |||",29
"<android.app.admin.DevicePolicyManager: void setKeepUninstalledPackages(ComponentName,List)>",,,"Set a list of apps to keep around as APKs even if no user has currently installed it. This
 function can be called by a device owner or by a delegate given the DELEGATION_KEEP_UNINSTALLED_PACKAGES scope via setDelegatedScopes(ComponentName String List ) . Please note that setting this policy does not imply that specified apps will be
 automatically pre-cached.",void,"admin ComponentName : Which DeviceAdminReceiver this request is associated with or null if the caller is a keep uninstalled packages delegate.
This value may be null . |||
packageNames List : List of package names to keep cached.
This value must never be null . |||",28
"<android.app.admin.DevicePolicyManager: void setOverrideApnsEnabled(ComponentName,boolean)>",,,"Called by device owner to set if override APNs should be enabled. Override APNs are separated from other APNs on the device and can only be inserted or
 modified by the device owner. When enabled only override APNs are in use any other APNs
 are ignored.",void,"admin ComponentName : which DeviceAdminReceiver this request is associated with
This value must never be null . |||
enabled boolean : true if override APNs should be enabled false otherwise |||",28
"<android.app.admin.DevicePolicyManager: void setStartUserSessionMessage(ComponentName,CharSequence)>",,,"Called by a device owner to specify the user session start message. This may be displayed
 during a user switch. The message should be limited to a short statement or it may be truncated. If the message needs to be localized it is the responsibility of the DeviceAdminReceiver to listen to the Intent#ACTION_LOCALE_CHANGED broadcast
 and set a new version of this message accordingly.",void,"admin ComponentName : which DeviceAdminReceiver this request is associated with.
This value must never be null . |||
startUserSessionMessage CharSequence : message for starting user session or null to use
system default message.
This value may be null . |||",28
"<android.app.admin.DevicePolicyManager: void transferOwnership(ComponentName,ComponentName,PersistableBundle)>",,,"Changes the current administrator to another one. All policies from the current
 administrator are migrated to the new administrator. The whole operation is atomic -
 the transfer is either complete or not done at all. Depending on the current administrator (device owner profile owner) you have the
 following expected behaviour: A device owner can only be transferred to a new device owner 
A profile owner can only be transferred to a new profile owner 
Use the bundle parameter to pass data to the new administrator. The data
 will be received in the DeviceAdminReceiver#onTransferOwnershipComplete(Context PersistableBundle) callback of the new administrator. The transfer has failed if the original administrator is still the corresponding owner
 after calling this method. The incoming target administrator must have the <support-transfer-ownership /> tag inside the <device-admin></device-admin> tags in the xml file referenced by DeviceAdminReceiver#DEVICE_ADMIN_META_DATA . Otherwise an IllegalArgumentException will be thrown.",void,"admin ComponentName : which DeviceAdminReceiver this request is associated with
This value must never be null . |||
target ComponentName : which DeviceAdminReceiver we want the new administrator to be
This value must never be null . |||
bundle PersistableBundle : data to be sent to the new administrator
This value may be null . |||",28
<android.app.admin.FreezePeriod: String toString()>,,,"Returns a string representation of the object. In general the toString method returns a string that
 ""textually represents"" this object. The result should
 be a concise but informative representation that is easy for a
 person to read.
 It is recommended that all subclasses override this method. The toString method for class Object returns a string consisting of the name of the class of which the
 object is an instance the at-sign character ` @ ' and
 the unsigned hexadecimal representation of the hash code of the
 object. In other words this method returns a string equal to the
 value of:",String a string representation of the object. |||,,28
<android.app.admin.SystemUpdatePolicy: SystemUpdatePolicy setFreezePeriods(List)>,,,"Configure a list of freeze periods on top of the current policy. When the device's clock is
 within any of the freeze periods all incoming system updates including security patches will
 be blocked and cannot be installed. When the device is outside the freeze periods the normal
 policy behavior will apply. Each individual freeze period is allowed to be at most 90 days long and adjacent freeze
 periods need to be at least 60 days apart. Also the list of freeze periods should not
 contain duplicates or overlap with each other. If any of these conditions is not met a ValidationFailedException will be thrown. Handling of leap year: we ignore leap years in freeze period calculations in particular When a freeze period is defined February 29th is disregarded so even though a freeze
 period can be specified to start or end on February 29th it will be treated as if the period
 started or ended on February 28th. 
When applying freeze period behavior to the device a system clock of February 29th is
 treated as if it were February 28th 
When calculating the number of days of a freeze period or separation between two freeze
 periods February 29th is also ignored and not counted as one day.",SystemUpdatePolicy this instance |||,freezePeriods List : the list of freeze periods |||,28
"<android.app.AppComponentFactory: Application instantiateApplication(ClassLoader,String)>",,,"Allows application to override the creation of the application object. This can be used to
 perform things such as dependency injection or class loader changes to these
 classes. This method is only intended to provide a hook for instantiation. It does not provide
 earlier access to the Application object. The returned object will not be initialized
 as a Context yet and should not be used to interact with other android APIs.",Application This value will never be null . |||,"cl ClassLoader : The default classloader to use for instantiation.
This value must never be null . |||
className String : The class to be instantiated.
This value must never be null . |||",28
"<android.app.AppComponentFactory: ClassLoader instantiateClassLoader(ClassLoader,ApplicationInfo)>",,,"Selects the class loader which will be used by the platform to instantiate app components. The default implementation of this method returns the cl parameter unchanged.
 Applications can override this method to set up a custom class loader or a custom class
 loader hierarchy and return it to the platform. The method is a hook invoked before any application components are instantiated or the
 application Context is initialized. It is intended to allow the application's classes to
 be loaded from a different source than the base/split APK(s). The default class loader cl is created by the platform and used to load the
 application's base or split APK(s). Its parent is typically the boot class loader unless
 running under instrumentation. Its classname is configurable using the R.attr.classLoader manifest attribute.",ClassLoader This value will never be null . |||,"cl ClassLoader : The default class loader created by the platform.
This value must never be null . |||
aInfo ApplicationInfo : Information about the application being loaded.
This value must never be null . |||",29
"<android.app.AppComponentFactory: ContentProvider instantiateProvider(ClassLoader,String)>",,,"Allows application to override the creation of providers. This can be used to
 perform things such as dependency injection or class loader changes to these
 classes. This method is only intended to provide a hook for instantiation. It does not provide
 earlier access to the ContentProvider object. The returned object will not be initialized
 with a Context yet and should not be used to interact with other android APIs.",ContentProvider This value will never be null . |||,"cl ClassLoader : The default classloader to use for instantiation.
This value must never be null . |||
className String : The class to be instantiated.
This value must never be null . |||",28
"<android.app.AppOpsManager: int unsafeCheckOpRaw(String,int,String)>",,,"Like checkOp(String int String) but returns the raw mode associated with the op.
 Does not throw a security exception does not translate MODE_FOREGROUND .",int |||,"op String : This value must never be null . |||
uid int |||
packageName String : This value must never be null . |||",29
"<android.app.AppOpsManager: void startWatchingMode(String,String,int,AppOpsManager.OnOpChangedListener)>",,,"Monitor for changes to the operating mode for the given op in the given app package.
 You can watch op changes only for your UID.",void,"op String : The operation to monitor one of OPSTR_*.
This value must never be null . |||
packageName String : The name of the application to monitor.
This value may be null . |||
flags int : Option flags: any combination of WATCH_FOREGROUND_CHANGES or 0. |||
callback AppOpsManager.OnOpChangedListener : Where to report changes.
This value must never be null . |||",29
<android.app.assist.AssistStructure.ViewNode: int getMaxTextEms()>,,,"Returns the maximum width in ems of the text associated with this node or -1 if not supported by the node. It's only relevant when the AssistStructure is used for autofill purposes
 not for assist purposes.",int |||,,28
<android.app.assist.AssistStructure.ViewNode: int getMaxTextLength()>,,,"Returns the maximum length of the text associated with this node node or -1 if not supported by the node or not set. It's only relevant when the AssistStructure is used for autofill purposes
 not for assist purposes.",int |||,,28
<android.app.assist.AssistStructure.ViewNode: int getMinTextEms()>,,,"Returns the minimum width in ems of the text associated with this node or -1 if not supported by the node. It's only relevant when the AssistStructure is used for autofill purposes
 not for assist purposes.",int |||,,28
<android.app.AutomaticZenRule: ZenPolicy getZenPolicy()>,,,Gets the zen policy.,ZenPolicy |||,,29
<android.app.backup.FullBackupDataOutput: int getTransportFlags()>,,,Returns flags with additional information about the backup transport. For supported flags see BackupAgent,int |||,,28
<android.app.DirectAction.Builder: DirectAction build()>,,,,"DirectAction A newly constructed instance.
 
 This value will never be null . |||",,29
<android.app.DirectAction.Builder: DirectAction.Builder setExtras(Bundle)>,,,"Sets the optional action extras. These extras are action specific
 and their semantics are open-ended potentially representing how
 the action is visualized interpreted what its arguments are etc.","DirectAction.Builder This builder.
 
 This value will never be null . |||","extras Bundle : The extras.
This value may be null . |||",29
<android.app.DirectAction.Builder: DirectAction.Builder setLocusId(LocusId)>,,,"Sets the optional locus id. This is an identifier of the application
 state from a user perspective. For example a specific chat in a
 messaging app.","DirectAction.Builder This builder.
 
 This value will never be null . |||","locusId LocusId : The locus id.
This value may be null . |||",29
<android.app.DirectAction: String getId()>,,,,"String the ID for this action.
 
 This value will never be null . |||",,29
<android.app.job.JobInfo.Builder: JobInfo.Builder setRequiredNetwork(NetworkRequest)>,3,,"Set detailed description of the kind of network your job requires. If your job doesn't need a network connection you don't need to call
 this method as the default is null . Calling this method defines network as a strict requirement for your
 job. If the network requested is not available your job will never
 run. See setOverrideDeadline(long) to change this behavior.
 Calling this method will override any requirements previously defined
 by setRequiredNetworkType(int) ; you typically only want to
 call one of these methods. When your job executes in JobService#onStartJob(JobParameters) be sure to use the
 specific network returned by JobParameters#getNetwork() otherwise you'll use the default network which may not meet this
 constraint.",JobInfo.Builder |||,"networkRequest NetworkRequest : The detailed description of the kind of network
this job requires or null if no specific kind of
network is required. Defining a NetworkSpecifier is only supported for jobs that aren't persisted.
This value may be null . |||",28
<android.app.job.JobInfo: NetworkRequest getRequiredNetwork()>,,,"Return the detailed description of the kind of network this job requires
 or null if no specific kind of network is required.",NetworkRequest |||,,28
<android.app.Notification.Action.Builder: Notification.Action.Builder setContextual(boolean)>,,,"Sets whether this Action is a contextual action i.e. whether the action is
 dependent on the notification message body. An example of a contextual action could
 be an action opening a map application with an address shown in the notification.",Notification.Action.Builder This value will never be null . |||,isContextual boolean |||,29
<android.app.Notification.Action.Builder: Notification.Action.Builder setSemanticAction(int)>,,,Sets the SemanticAction for this Action . A SemanticAction denotes what an Action 's PendingIntent will do (eg. reply mark as read delete etc).,"Notification.Action.Builder this object for method chaining
 
 This value will never be null . |||","semanticAction int : a SemanticAction defined within Action with SEMANTIC_ACTION_ prefixes
Value is Notification.Action.SEMANTIC_ACTION_NONE  Notification.Action.SEMANTIC_ACTION_REPLY  Notification.Action.SEMANTIC_ACTION_MARK_AS_READ  Notification.Action.SEMANTIC_ACTION_MARK_AS_UNREAD  Notification.Action.SEMANTIC_ACTION_DELETE  Notification.Action.SEMANTIC_ACTION_ARCHIVE  Notification.Action.SEMANTIC_ACTION_MUTE  Notification.Action.SEMANTIC_ACTION_UNMUTE  Notification.Action.SEMANTIC_ACTION_THUMBS_UP  Notification.Action.SEMANTIC_ACTION_THUMBS_DOWN or Notification.Action.SEMANTIC_ACTION_CALL |||",28
<android.app.Notification.BubbleMetadata.Builder: Notification.BubbleMetadata build()>,,,Creates the BubbleMetadata defined by this builder.,Notification.BubbleMetadata This value will never be null . |||,,29
<android.app.Notification.BubbleMetadata.Builder: Notification.BubbleMetadata.Builder setAutoExpandBubble(boolean)>,,,"Sets whether the bubble will be posted in its expanded state (with the contents of Notification.BubbleMetadata.getBubbleIntent() in a floating window). This flag has no effect if the app posting the bubble is not in the foreground.
 The app is considered foreground if it is visible and on the screen note that
 a foreground service does not qualify. Generally this flag should only be set if the user has performed an action to
 request or create a bubble. Setting this flag is optional; it defaults to false.",Notification.BubbleMetadata.Builder This value will never be null . |||,shouldExpand boolean |||,29
<android.app.Notification.BubbleMetadata.Builder: Notification.BubbleMetadata.Builder setDeleteIntent(PendingIntent)>,,,Sets an intent to send when this bubble is explicitly removed by the user. Setting a delete intent is optional.,Notification.BubbleMetadata.Builder This value will never be null . |||,deleteIntent PendingIntent : This value may be null . |||,29
<android.app.Notification.BubbleMetadata.Builder: Notification.BubbleMetadata.Builder setDesiredHeight(int)>,,,"Sets the desired height in DPs for the expanded content of the bubble. This height may not be respected if there is not enough space on the screen or if
 the provided height is too small to be useful. If setDesiredHeightResId(int) was previously called on this builder the
 previous value set will be cleared after calling this method and this value will
 be used instead. A desired height (in DPs or via resID) is optional.",Notification.BubbleMetadata.Builder This value will never be null . |||,height int |||,29
<android.app.Notification.BubbleMetadata: boolean isNotificationSuppressed()>,,,"Indicates whether the notification associated with the bubble is being visually
 suppressed from the notification shade. When true the notification is
 hidden when false the notification shows as normal. Apps sending bubbles may set this flag so that the bubble is posted without the associated notification in the notification shade. Apps sending bubbles can only apply this flag when the app is in the foreground
 otherwise the flag is not respected. The app is considered foreground if it is visible
 and on the screen note that a foreground service does not qualify. Generally the app should only set this flag if the user has performed an
 action to request or create a bubble or if the user has seen the content in the
 notification and the notification is no longer relevant. The system will update this flag with true to hide the notification
 from the user once the bubble has been expanded.",boolean whether this bubble should suppress the notification when it is posted. |||,,29
<android.app.Notification.BubbleMetadata: int describeContents()>,,,"Describe the kinds of special objects contained in this Parcelable
 instance's marshaled representation. For example if the object will
 include a file descriptor in the output of writeToParcel(android.os.Parcel int) the return value of this method must include the CONTENTS_FILE_DESCRIPTOR bit.","int a bitmask indicating the set of special object types marshaled
 by this Parcelable object instance.
 
 Value is either 0 or CONTENTS_FILE_DESCRIPTOR |||",,29
<android.app.Notification.BubbleMetadata: PendingIntent getDeleteIntent()>,,,,"PendingIntent the pending intent to send when the bubble is dismissed by a user if one exists.
 
 This value may be null . |||",,29
"<android.app.Notification.BubbleMetadata: void writeToParcel(Parcel,int)>",,,Flatten this object in to a Parcel.,void,"out Parcel : The Parcel in which the object should be written. |||
flags int : Additional flags about how the object should be written.
May be 0 or Parcelable.PARCELABLE_WRITE_RETURN_VALUE .
Value is either 0 or a combination of Parcelable.PARCELABLE_WRITE_RETURN_VALUE and android.os.Parcelable.PARCELABLE_ELIDE_DUPLICATES |||",29
<android.app.Notification.Builder: Notification.Builder setBubbleMetadata(Notification.BubbleMetadata)>,,,"Sets the BubbleMetadata that will be used to display app content in a floating
 window over the existing foreground activity. This data will be ignored unless the notification is posted to a channel that
 allows NotificationChannel#canBubble() . Notifications allowed to bubble that have valid bubble metadata will display in
 collapsed state outside of the notification shade on unlocked devices. When a user
 interacts with the collapsed state the bubble intent will be invoked and displayed.",Notification.Builder This value will never be null . |||,data Notification.BubbleMetadata : This value may be null . |||,29
<android.app.Notification.MessagingStyle.Message: Person getSenderPerson()>,,,Get the sender associated with this message.,Person This value may be null . |||,,28
<android.app.Notification: LocusId getLocusId()>,,,Gets the LocusId associated with this notification. Used by the device's intelligence services to correlate objects (such as ShortcutInfo and ContentCaptureContext ) that are correlated.,LocusId This value may be null . |||,,29
<android.app.NotificationChannel: boolean canBubble()>,,,"Returns whether notifications posted to this channel can display outside of the notification
 shade in a floating window on top of other apps.",boolean |||,,29
<android.app.NotificationChannel: boolean hasUserSetImportance()>,,,"Returns whether the user has chosen the importance of this channel either to affirm the
 initial selection from the app or changed it to be higher or lower.",boolean |||,,29
<android.app.NotificationChannelGroup: boolean isBlocked()>,,,"Returns whether or not notifications posted to NotificationChannel belonging
 to this group are blocked. This value is independent of NotificationManager#areNotificationsEnabled() and NotificationChannel#getImportance() .",boolean |||,,28
