,Annotation
<android.nfc.INfcAdapterExtras$Stub$Proxy: int getCardEmulationRoute(java.lang.String)>,SOURCE
<android.net.wifi.p2p.WifiP2pService$P2pStateMachine: boolean isForegroundApp(java.lang.String)>,SOURCE
<com.android.nfc.NfcService: void sendMockNdefTag(android.nfc.NdefMessage)>,SINK
<android.net.wifi.IWifiManager$Stub$Proxy: android.net.wifi.WifiInfo getConnectionInfo()>,SOURCE
<android.net.wifi.WifiManager: android.net.wifi.WifiInfo getConnectionInfo()>,SOURCE
<com.android.settings.wifi.WifiSettings$2: void onClick(android.view.View)>,NONE
<com.android.server.net.NetworkPolicyManagerService: void addNetworkPolicyLocked(android.net.NetworkPolicy)>,SINK
<com.android.settings.tts.TextToSpeechSettings: void onCreate(android.os.Bundle)>,NONE
<com.android.settings.PrivacySettings: void onResume()>,NONE
"<com.android.settings.AccessibilitySettings: void onCreateOptionsMenu(android.view.Menu,android.view.MenuInflater)>",NONE
<com.android.settings.accounts.SyncSettings: void onCreate(android.os.Bundle)>,NONE
<com.android.settings.widget.SettingsAppWidgetProvider$GpsStateTracker: void toggleState(android.content.Context)>,NONE
<com.android.settings.widget.SettingsAppWidgetProvider$SettingsObserver: void onChange(boolean)>,NONE
<com.android.settings.bluetooth.DockService: void handleBluetoothStateOn(int)>,NONE
"<com.android.settings.bluetooth.DockService: boolean msgTypeDocked(android.bluetooth.BluetoothDevice,int,int)>",NONE
<com.android.bluetooth.opp.BluetoothOppIncomingFileConfirmActivity: void onCreate(android.os.Bundle)>,NONE
<android.nfc.INfcAdapter$Stub$Proxy: boolean disableNdefPush()>,NONE
<android.bluetooth.BluetoothAdapter: boolean setName(java.lang.String)>,NONE
<android.bluetooth.IBluetooth$Stub$Proxy: boolean startDiscovery()>,NONE
"<android.bluetooth.IBluetoothHeadset$Stub: boolean onTransact(int,android.os.Parcel,android.os.Parcel,int)>",SINK
<com.android.settings.DateTimeSettings: void onPause()>,NONE
<com.android.settings.vpn2.VpnSettings: void onPause()>,NONE
<android.bluetooth.BluetoothDeviceProfileState$IncomingHandsfree: void enter()>,SINK
<android.server.BluetoothService: boolean removeBondInternal(java.lang.String)>,NONE
"<com.android.bluetooth.pbap.BluetoothPbapService: int onStartCommand(android.content.Intent,int,int)>",NONE
<android.bluetooth.IBluetooth$Stub$Proxy: boolean disconnectInputDevice(android.bluetooth.BluetoothDevice)>,SINK
<com.android.phone.BluetoothHandsfree$20: android.bluetooth.AtCommandResult handleTestCommand()>,NONE
<com.android.phone.BluetoothHandsfree$24: android.bluetooth.AtCommandResult handleTestCommand()>,NONE
<android.bluetooth.IBluetoothHeadset$Stub$Proxy: boolean startScoUsingVirtualVoiceCall(android.bluetooth.BluetoothDevice)>,SINK
<com.android.phone.BluetoothHandsfree$28: android.bluetooth.AtCommandResult handleActionCommand()>,NONE
<com.android.phone.BluetoothHandsfree$3: android.bluetooth.AtCommandResult handleActionCommand()>,NONE
<android.media.AudioService$ScoClient: void clearCount(boolean)>,NONE
<android.media.AudioService$ScoClient: void incCount()>,NONE
"<android.media.AudioService: void setMode(int,android.os.IBinder)>",SINK
<com.android.phone.EmergencyCallHelper: void onServiceStateChanged(android.os.Message)>,NONE
<com.android.phone.InCallTouchUi: void onClick(android.view.View)>,NONE
<com.android.phone.BluetoothHandsfree$13: android.bluetooth.AtCommandResult handleBasicCommand(java.lang.String)>,NONE
<com.android.phone.BluetoothHandsfree$23: android.bluetooth.AtCommandResult handleBasicCommand(java.lang.String)>,NONE
<com.android.phone.BluetoothHandsfree$5: android.bluetooth.AtCommandResult handleBasicCommand(java.lang.String)>,NONE
<com.android.phone.DTMFTwelveKeyDialerView: boolean dispatchKeyEvent(android.view.KeyEvent)>,NONE
<com.android.phone.OtaUtils: void onClickOtaActivateButton()>,NONE
<com.android.phone.EmergencyCallHelper: void onDisconnect(android.os.Message)>,NONE
"<com.android.internal.widget.multiwaveview.GlowPadView: boolean trySwitchToFirstTouchState(float,float)>",NONE
<com.android.internal.widget.multiwaveview.GlowPadView$2: void onAnimationEnd(android.animation.Animator)>,NONE
<com.android.phone.BluetoothHandsfree: android.bluetooth.AtCommandResult redial()>,SINK
<com.android.phone.InCallScreen: void onBackPressed()>,NONE
<com.android.phone.InCallScreen: void onDisconnect(android.os.AsyncResult)>,SINK
<com.android.phone.InCallScreen: void updateAfterRadioTechnologyChange()>,NONE
<com.android.phone.InCallScreen: void delayedCleanupAfterDisconnect()>,NONE
<com.android.phone.OtaUtils: void otaShowHome()>,NONE
"<com.android.phone.RespondViaSmsManager$RespondViaSmsItemClickListener: void onItemClick(android.widget.AdapterView,android.view.View,int,long)>",SINK
<com.android.phone.InCallScreen: void requestRemoveProviderInfoWithDelay()>,NONE
<android.server.BluetoothEventLoop: void onDeviceRemoved(java.lang.String)>,SINK
"<com.android.bluetooth.opp.BluetoothOppService: int onStartCommand(android.content.Intent,int,int)>",NONE
<com.android.bluetooth.opp.BluetoothOppService: void onCreate()>,NONE
<com.android.bluetooth.pbap.BluetoothPbapService$SocketAcceptThread: void run()>,SINK
"<android.os.IVibratorService$Stub$Proxy: void vibrate(long,android.os.IBinder)>",SINK
<com.android.contacts.dialpad.DialpadFragment: boolean onLongClick(android.view.View)>,NONE
<com.android.phone.CallNotifier: void onCustomRingtoneQueryTimeout(java.lang.String)>,NONE
<com.android.systemui.statusbar.phone.PhoneStatusBar: void updateSearchPanel()>,NONE
<com.android.systemui.statusbar.DelegateViewHelper: boolean onInterceptTouchEvent(android.view.MotionEvent)>,NONE
<com.android.server.ShutdownActivity$1: void run()>,NONE
<com.android.gallery3d.ui.PhotoView$1: void onClick(com.android.gallery3d.ui.GLView)>,NONE
<com.android.inputmethod.keyboard.LatinKeyboardView$KeyTimerHandler: void startLongPressTimer(int)>,SINK
"<com.android.systemui.statusbar.BaseStatusBar: void updateNotification(android.os.IBinder,com.android.internal.statusbar.StatusBarNotification)>",NONE
<com.android.systemui.SwipeHelper$2: void onAnimationEnd(android.animation.Animator)>,NONE
"<com.android.inputmethod.accessibility.AccessibilityEntityProvider: boolean performAction(int,int,android.os.Bundle)>",SINK
<com.android.nfc.P2pEventManager: void onP2pInRange()>,NONE
"<com.android.mms.transaction.SimFullReceiver: void onReceive(android.content.Context,android.content.Intent)>",NONE
"<com.android.systemui.screenshot.GlobalScreenshot: void notifyScreenshotError(android.content.Context,android.app.NotificationManager)>",SINK
"<com.android.phone.CallNotifier: void showMissedCallNotification(com.android.internal.telephony.Connection,long)>",NONE
<com.android.phone.NotificationMgr: void updateInCallNotification()>,NONE
<com.android.server.usb.UsbDeviceManager$UsbHandler: void updateState(java.lang.String)>,SINK
<android.content.SyncManager$SyncHandler: long maybeStartNextSyncLocked()>,SINK
<com.android.email.SecurityPolicy: void onPasswordExpiring(android.content.Context)>,SINK
<com.android.contacts.vcard.NfcImportVCardActivity$ImportTask: com.android.contacts.vcard.ImportRequest doInBackground(com.android.contacts.vcard.VCardService[])>,SOURCE
<com.android.providers.downloads.DownloadService$UpdateThread: void run()>,NONE
<com.android.server.usb.UsbService: void <init>(android.content.Context)>,NONE
<com.android.settings.DataUsageSummary: void setRestrictBackground(boolean)>,SINK
"<android.content.SyncManager: void <init>(android.content.Context,boolean)>",NONE
"<android.content.SyncManager$ActiveSyncContext: void onServiceConnected(android.content.ComponentName,android.os.IBinder)>",SINK
<com.android.vcard.VCardParserImpl_V21: boolean parseItem()>,NONE
<com.android.vcard.VCardParserImpl_V40: boolean parseItem()>,SOURCE
"<android.content.ContentService: android.content.IContentService main(android.content.Context,boolean)>",NONE
"<com.android.exchange.ExchangeService$2: void startSync(long,boolean)>",NONE
<com.android.exchange.adapter.Parser: boolean parse()>,NONE
"<com.android.exchange.ExchangeService: void startManualSync(long,int,com.android.exchange.Request)>",SINK
<com.android.email.activity.UIControllerOnePane: void onRefresh()>,NONE
<com.android.email.activity.setup.MailboxSettings$2: void onSuccess(java.lang.Object)>,NONE
<com.android.email.activity.MessageViewFragment: void onClick(android.view.View)>,NONE
"<com.android.providers.downloads.DownloadService$1: void scanCompleted(java.lang.String,android.net.Uri)>",NONE
"<com.android.browser.Tab$4: void onDownloadStart(java.lang.String,java.lang.String,java.lang.String,java.lang.String,long)>",NONE
"<com.android.providers.downloads.DownloadInfo$Reader: com.android.providers.downloads.DownloadInfo newDownloadInfo(android.content.Context,com.android.providers.downloads.SystemFacade)>",SOURCE
<android.media.IAudioService$Stub$Proxy: void setBluetoothScoOn(boolean)>,SINK
"<com.android.phone.PhoneUtils: void turnOnSpeaker(android.content.Context,boolean,boolean)>",NONE
<com.android.internal.policy.impl.SimPukUnlockScreen$TouchInput: void onClick(android.view.View)>,NONE
"<com.android.internal.policy.impl.PasswordUnlockScreen: boolean onEditorAction(android.widget.TextView,int,android.view.KeyEvent)>",NONE
"<com.android.internal.policy.impl.PhoneWindowManager: void init(android.content.Context,android.view.IWindowManager,android.view.WindowManagerPolicy$WindowManagerFuncs,android.os.LocalPowerManager)>",NONE
<com.android.internal.policy.impl.KeyguardViewBase: boolean dispatchKeyEvent(android.view.KeyEvent)>,SINK
<com.android.server.wm.WindowManagerService$1: void acquired()>,NONE
<com.android.internal.policy.impl.PatternUnlockScreen$UnlockPatternListener: void onPatternCellAdded(java.util.List)>,NONE
<android.view.IWindowManager$Stub$Proxy: void exitKeyguardSecurely(android.view.IOnKeyguardExitResult)>,NONE
<com.android.internal.policy.impl.KeyguardViewMediator: void keyguardDone(boolean)>,SINK
<com.android.internal.widget.SlidingTab: void setGrabbedState(int)>,NONE
"<com.android.settings.DevelopmentSettings: boolean isPermissionEnforced(android.content.Context,java.lang.String)>",SOURCE
"<com.android.providers.media.MediaProvider: android.os.ParcelFileDescriptor getThumb(com.android.providers.media.MediaProvider$DatabaseHelper,android.database.sqlite.SQLiteDatabase,java.lang.String,long,android.net.Uri)>",SOURCE
<com.android.browser.BrowserHistoryPage$ClearHistoryTask: void run()>,NONE
<android.provider.Browser: boolean canClearHistory(android.content.ContentResolver)>,SOURCE
"<com.android.browser.Tab: void <init>(com.android.browser.WebViewController,android.webkit.WebView)>",NONE
<com.android.browser.Tab: void capture()>,NONE
<com.android.browser.TabControl: com.android.browser.SnapshotTab createSnapshotTab(long)>,NONE
"<com.android.browser.SnapshotTab: void onNewPicture(android.webkit.WebView,android.graphics.Picture)>",NONE
"<com.android.browser.Controller: com.android.browser.Tab openTab(java.lang.String,boolean,boolean,boolean)>",NONE
"<com.android.browser.Controller: boolean onKeyUp(int,android.view.KeyEvent)>",NONE
<com.android.browser.Tab$3: void onCloseWindow(android.webkit.WebView)>,NONE
<com.android.browser.AddBookmarkPage$SaveBookmarkRunnable: void run()>,NONE
"<com.android.inputmethod.latin.UserHistoryDictionary: void getWords(com.android.inputmethod.latin.WordComposer,java.lang.CharSequence,com.android.inputmethod.latin.Dictionary$WordCallback,com.android.inputmethod.keyboard.ProximityInfo)>",NONE
<com.android.inputmethod.latin.SynchronouslyLoadedContactsDictionary: void blockingReloadDictionaryIfRequired()>,NONE
"<com.android.inputmethod.latin.SynchronouslyLoadedUserDictionary: void getBigrams(com.android.inputmethod.latin.WordComposer,java.lang.CharSequence,com.android.inputmethod.latin.Dictionary$WordCallback)>",NONE
"<com.android.inputmethod.latin.SynchronouslyLoadedUserDictionary: void <init>(android.content.Context,java.lang.String,boolean)>",NONE
"<com.android.inputmethod.latin.LatinIME: void handleCharacterWhileInBatchEdit(int,int,int,int,android.view.inputmethod.InputConnection)>",NONE
"<com.android.inputmethod.latin.Suggest: void <init>(android.content.Context,java.util.Locale)>",NONE
"<com.android.inputmethod.latin.LatinIME: void onStartInputView(android.view.inputmethod.EditorInfo,boolean)>",NONE
<com.android.inputmethod.keyboard.PointerTracker: void onRegisterKey(com.android.inputmethod.keyboard.Key)>,NONE
<com.android.inputmethod.keyboard.PointerTracker: void startRepeatKey(com.android.inputmethod.keyboard.Key)>,NONE
<com.android.inputmethod.keyboard.internal.PointerTrackerQueue: void releaseAllPointers(long)>,NONE
<com.android.inputmethod.latin.ExpandableBinaryDictionary$AsyncReloadDictionaryTask: void run()>,NONE
"<com.android.providers.userdictionary.DictionaryBackupAgent: void onRestore(android.app.backup.BackupDataInput,int,android.os.ParcelFileDescriptor)>",SINK
<android.os.storage.IMountService$Stub$Proxy: void shutdown(android.os.storage.IMountShutdownObserver)>,SINK
<android.os.storage.StorageManager: void disableUsbMassStorage()>,NONE
<com.android.server.MountService: int mountVolume(java.lang.String)>,NONE
<android.hardware.Camera: android.hardware.Camera open()>,SOURCE
<android.filterpacks.videosink.MediaEncoderFilter: void open(android.filterfw.core.FilterContext)>,SINK
<android.filterpacks.base.FrameSource: void performProcess(android.filterfw.core.FilterContext)>,NONE
"<android.media.effect.effects.AutoFixEffect: void apply(int,int,int,int)>",NONE
"<android.media.effect.effects.BitmapOverlayEffect: void apply(int,int,int,int)>",NONE
"<android.media.effect.effects.BlackWhiteEffect: void apply(int,int,int,int)>",NONE
"<android.media.effect.effects.CropEffect: void apply(int,int,int,int)>",NONE
"<android.media.effect.FilterGraphEffect: void apply(int,int,int,int)>",SINK
"<android.media.effect.effects.BackDropperEffect: void apply(int,int,int,int)>",SINK
<com.android.camera.VideoCamera: void updateRecordingTime()>,NONE
"<com.android.camera.VideoCamera: void onEffectsUpdate(int,int)>",NONE
"<com.android.camera.VideoCamera: void onError(android.media.MediaRecorder,int,int)>",NONE
"<com.android.camera.ui.InLineSettingKnob$3: boolean onTouch(android.view.View,android.view.MotionEvent)>",NONE
<com.android.gallery3d.ui.PhotoView: void render(com.android.gallery3d.ui.GLCanvas)>,NONE
<com.android.gallery3d.ui.CropView: void render(com.android.gallery3d.ui.GLCanvas)>,NONE
"<com.android.gallery3d.ui.GLView: void renderChild(com.android.gallery3d.ui.GLCanvas,com.android.gallery3d.ui.GLView)>",NONE
"<android.webkit.WebView: void <init>(android.content.Context,android.util.AttributeSet,int,java.util.Map,boolean)>",NONE
"<android.webkit.WebView: void <init>(android.content.Context,android.util.AttributeSet,int,boolean)>",NONE
"<android.webkit.WebView: void <init>(android.content.Context,android.util.AttributeSet,int)>",NONE
"<android.webkit.WebView: void <init>(android.content.Context,android.util.AttributeSet)>",NONE
<android.webkit.WebView: void <init>(android.content.Context)>,NONE
<com.android.internal.telephony.test.ModelInterpreter: void <init>(java.net.InetSocketAddress)>,NONE
<java.net.URL: java.net.URLConnection openConnection()>,SINK
<com.android.browser.WallpaperHandler: boolean onMenuItemClick(android.view.MenuItem)>,NONE
<com.google.common.io.ByteStreams: byte[] toByteArray(com.google.common.io.InputSupplier)>,NONE
<com.google.common.io.ByteStreams: long length(com.google.common.io.InputSupplier)>,NONE
"<com.google.common.io.CharStreams: long copy(com.google.common.io.InputSupplier,com.google.common.io.OutputSupplier)>",NONE
<com.google.common.io.CharStreams$4: java.lang.Object getInput()>,SOURCE
<android.app.backup.BackupAgentHelper: void setWallpaper(android.graphics.Bitmap)>,SINK
<android.accounts.AccountAuthenticatorActivity: void setWallpaper(java.io.InputStream)>,SINK
<android.accessibilityservice.AccessibilityService: void setWallpaper(android.graphics.Bitmap)>,SINK
<com.android.contacts.list.LegacyContactListAdapter: android.net.Uri getPersonUri(int)>,SOURCE
"<com.android.contacts.list.ContactBrowseListFragment: void onItemClick(android.widget.AdapterView,android.view.View,int,long)>",NONE
"<com.android.contacts.list.DefaultContactBrowseListFragment: void onItemClick(android.widget.AdapterView,android.view.View,int,long)>",NONE
<com.android.contacts.dialog.ClearFrequentsDialog$1$1: java.lang.Object doInBackground(java.lang.Object[])>,NONE
"<com.android.contacts.group.GroupEditorFragment$Member: void <init>(long,java.lang.String,long,java.lang.String,java.lang.String)>",NONE
"<com.android.calendar.EventInfoFragment: void showContactInfo(com.android.calendar.CalendarEventModel$Attendee,android.graphics.Rect)>",NONE
"<com.android.providers.contacts.LegacyApiSupport: android.database.Cursor query(android.net.Uri,java.lang.String[],java.lang.String,java.lang.String[],java.lang.String,java.lang.String)>",SOURCE
<com.android.providers.contacts.LegacyApiSupport: java.lang.String getContactMethodType(android.net.Uri)>,SOURCE
"<com.android.contacts.list.JoinContactListAdapter: android.view.View getView(int,android.database.Cursor,int,android.view.View,android.view.ViewGroup)>",SOURCE
"<com.android.contacts.list.LegacyPhoneNumberListAdapter: android.view.View getView(int,android.database.Cursor,int,android.view.View,android.view.ViewGroup)>",SOURCE
"<com.android.providers.contacts.ContactsProvider2: int deleteData(java.lang.String,java.lang.String[],boolean)>",SOURCE
"<com.android.contacts.list.ContactPickerFragment: void onLoadFinished(android.content.Loader,java.lang.Object)>",NONE
<com.android.contacts.activities.PeopleActivity: void configureContactListFragmentForRequest()>,NONE
<com.android.contacts.list.JoinContactListFragment: void onAttach(android.app.Activity)>,NONE
"<com.android.contacts.list.ContactBrowseListFragment: void setQueryString(java.lang.String,boolean)>",NONE
<com.android.contacts.activities.NonPhoneActivity: void onServiceCompleted(android.content.Intent)>,NONE
<com.android.contacts.CallContactActivity: void onServiceCompleted(android.content.Intent)>,NONE
<com.android.contacts.activities.PeopleActivity: boolean onSearchRequested()>,NONE
<com.android.contacts.activities.TransactionSafeActivity: boolean onSearchRequested()>,NONE
<com.android.contacts.model.AccountTypeManagerImpl$1: void run()>,NONE
<com.android.contacts.activities.GroupEditorActivity: void onBackPressed()>,NONE
<com.android.providers.contacts.LegacyApiSupport: int updateSettings(android.content.ContentValues)>,SINK
<com.android.mms.ui.ConversationListItem: void updateAvatarView()>,SINK
<com.android.mms.ui.ConversationListItem: void updateFromView()>,SINK
<com.android.exchange.adapter.ContactsSyncAdapter$ContactOperations: void delete(long)>,NONE
"<com.android.contacts.group.GroupEditorFragment$3: android.content.CursorLoader onCreateLoader(int,android.os.Bundle)>",NONE
<com.android.contacts.editor.StructuredNameEditorView: void notifyEditorListener()>,NONE
"<com.android.contacts.editor.EventFieldEditorView: void onFieldChanged(java.lang.String,java.lang.String)>",SINK
"<com.android.server.LocationManagerService: void requestLocationUpdatesLocked(java.lang.String,long,float,boolean,com.android.server.LocationManagerService$Receiver)>",SINK
"<android.location.ILocationManager$Stub$Proxy: boolean sendExtraCommand(java.lang.String,java.lang.String,android.os.Bundle)>",SINK
<android.location.LocationManager: boolean isProviderEnabled(java.lang.String)>,SOURCE
<com.android.server.location.LocationBasedCountryDetector: android.location.Country detectCountry()>,SOURCE
<com.android.camera.LocationManager: void recordLocation(boolean)>,NONE
"<com.android.server.LocationManagerService: java.lang.String getBestProvider(android.location.Criteria,boolean)>",SOURCE
<com.android.internal.telephony.ITelephony$Stub$Proxy: android.os.Bundle getCellLocation()>,SOURCE
<android.telephony.TelephonyManager: android.telephony.CellLocation getCellLocation()>,SOURCE
<android.app.ActivityGroup: void finishFromChild(android.app.Activity)>,NONE
<android.app.ActivityGroup: void finish()>,NONE
<android.app.Activity: void finish()>,NONE
"<android.accounts.AccountManagerService: void getAuthToken(android.accounts.IAccountManagerResponse,android.accounts.Account,java.lang.String,boolean,boolean,android.os.Bundle)>",SINK
"<android.test.IsolatedContext$MockAccountManager: android.accounts.AccountManagerFuture getAuthToken(android.accounts.Account,java.lang.String,boolean,android.accounts.AccountManagerCallback,android.os.Handler)>",SOURCE
<com.android.contacts.list.ProfileAndContactsLoader: android.database.Cursor loadInBackground()>,SOURCE
<com.android.contacts.list.ProfileAndContactsLoader: java.lang.Object loadInBackground()>,SOURCE
<com.android.vcard.VCardComposer: boolean init()>,NONE
"<com.android.bluetooth.pbap.BluetoothPbapObexServer: int pullVcardListing(byte[],com.android.bluetooth.pbap.BluetoothPbapObexServer$AppParamValue,javax.obex.HeaderSet,javax.obex.Operation)>",SINK
<com.android.contacts.list.CustomContactListFilterActivity$CustomFilterConfigurationLoader: com.android.contacts.list.CustomContactListFilterActivity$AccountSet loadInBackground()>,SOURCE
"<com.android.phone.CallCard: void displaySecondaryCallStatus(com.android.internal.telephony.CallManager,com.android.internal.telephony.Call)>",NONE
"<android.provider.ContactsContract$ProfileSyncState: byte[] get(android.content.ContentProviderClient,android.accounts.Account)>",SOURCE
<com.android.phone.BluetoothAtPhonebook$3: android.bluetooth.AtCommandResult handleReadCommand()>,SOURCE
<com.android.contacts.editor.RawContactEditorView: void setPhotoBitmap(android.graphics.Bitmap)>,SINK
"<com.android.contacts.interactions.ImportExportDialogFragment$2: void onClick(android.content.DialogInterface,int)>",NONE
<com.android.contacts.ContactPhotoManagerImpl$LoaderThread: void loadPhotosInBackground()>,NONE
"<android.content.ContentService: void setSyncAutomatically(android.accounts.Account,java.lang.String,boolean)>",SINK
"<android.content.IContentService$Stub$Proxy: void setIsSyncable(android.accounts.Account,java.lang.String,int)>",SINK
"<android.accounts.IAccountManager$Stub$Proxy: void removeAccount(android.accounts.IAccountManagerResponse,android.accounts.Account)>",SINK
"<android.accounts.AccountManager: android.accounts.AccountManagerFuture getAccountsByTypeAndFeatures(java.lang.String,java.lang.String[],android.accounts.AccountManagerCallback,android.os.Handler)>",SOURCE
<android.accounts.GrantCredentialsPermissionActivity: void onCreate(android.os.Bundle)>,NONE
