,SS GroundT,Cat GroundT,Description,Return,Parameters,ApiLevel
<android.icu.text.Bidi: void setPara(AttributedCharacterIterator)>,,,"Perform the Unicode Bidi algorithm on a given paragraph as defined in the Unicode Standard Annex #9 version 13
 also described in The Unicode Standard Version 4.0 . This method takes a paragraph of text and computes the
 left-right-directionality of each character. The text should not
 contain any Unicode block separators. The RUN_DIRECTION attribute in the text if present determines the base
 direction (left-to-right or right-to-left). If not present the base
 direction is computed using the Unicode Bidirectional Algorithm
 defaulting to left-to-right if there are no strong directional characters
 in the text. This attribute if present must be applied to all the text
 in the paragraph. The BIDI_EMBEDDING attribute in the text if present represents
 embedding level information.
 Negative values indicate overrides at the absolute value of the level.
 Positive values indicate embeddings. (See MAX_EXPLICIT_LEVEL .)
 Where values are zero or not defined the base
 embedding level as determined by the base direction is assumed. The NUMERIC_SHAPING attribute in the text if present converts European
 digits to other decimal digits before running the bidi algorithm. This
 attribute if present must be applied to all the text in the paragraph.

 If the entire text is all of the same directionality then
 the method may not perform all the steps described by the algorithm
 i.e. some levels may not be the same as if all steps were performed.
 This is not relevant for unidirectional text. For example in pure LTR text with numbers the numbers would get
 a resolved level of 2 higher than the surrounding text according to
 the algorithm. This implementation may set all resolved levels to
 the same value in such a case.",void,"paragraph AttributedCharacterIterator : a paragraph of text with optional character and
paragraph attribute information |||",29.0
<android.widget.ScrollView: int getTopEdgeEffectColor()>,,,Returns the top edge effect color.,int The top edge effect color. |||,,29.0
<android.os.Environment: boolean isExternalStorageLegacy()>,,,"Returns whether the shared/external storage media is a
 legacy view that includes files not owned by the app. This value may be different from the value requested by requestLegacyExternalStorage in the app's manifest since an app
 may inherit its legacy state based on when it was first installed target sdk and other
 factors. Non-legacy apps can continue to discover and read media belonging to
 other apps via MediaStore .",boolean |||,,29.0
<android.media.session.MediaSession: MediaSessionManager.RemoteUserInfo getCurrentControllerInfo()>,,,Gets the controller information who sent the current request. Note: This is only valid while in a request callback such as Callback#onPlay .,MediaSessionManager.RemoteUserInfo This value will never be null . |||,,28.0
<android.os.VibrationEffect: VibrationEffect createPredefined(int)>,,,"Create a predefined vibration effect.

 Predefined effects are a set of common vibration effects that should be identical regardless
 of the app they come from in order to provide a cohesive experience for users across
 the entire device. They also may be custom tailored to the device hardware in order to
 provide a better experience than you could otherwise build using the generic building
 blocks.

 This will fallback to a generic pattern if one exists and there does not exist a
 hardware-specific implementation of the effect.","VibrationEffect The desired effect.
 
 This value will never be null . |||",effectId int : The ID of the effect to perform: EFFECT_CLICK  EFFECT_DOUBLE_CLICK  EFFECT_TICK Value is EFFECT_TICK  EFFECT_CLICK  EFFECT_HEAVY_CLICK or EFFECT_DOUBLE_CLICK |||,29.0
<android.graphics.RecordingCanvas: boolean isHardwareAccelerated()>,,,"Indicates whether this Canvas uses hardware acceleration.

 Note that this method does not define what type of hardware acceleration
 may or may not be used.","boolean True if drawing operations are hardware accelerated
         false otherwise. |||",,29.0
"<android.app.admin.DeviceAdminReceiver: void onTransferOwnershipComplete(Context,PersistableBundle)>",,,"Called on the newly assigned owner (either device owner or profile owner) when the ownership
 transfer has completed successfully. The bundle parameter allows the original owner to pass data
 to the new one.",void,"context Context : the running context as per onReceive(Context Intent) This value must never be null . |||
bundle PersistableBundle : the data to be passed to the new owner
This value may be null . |||",28.0
<android.content.pm.PackageInstaller.Session: void addChildSessionId(int)>,,,"Adds a session ID to the set of sessions that will be committed atomically
 when this session is committed. If the parent is staged or has rollback enabled all children must have
 the same properties.",void,sessionId int : the session ID to add to this multi-package session. |||,29.0
<android.content.pm.CrossProfileApps: CharSequence getProfileSwitchingLabel(UserHandle)>,,,"Return a label that calling app can show to user for the semantic of profile switching --
 launching its own activity in specified user profile. For example it may return
 ""Switch to work"" if the given user handle is the managed profile one.","CharSequence a label that calling app can show user for the semantic of launching its own
         activity in the specified user profile.

 This value will never be null . |||","userHandle UserHandle : The UserHandle of the target profile must be one of the users returned by getTargetUserProfiles() otherwise a SecurityException will
be thrown.
This value must never be null . |||",28.0
"<android.app.Instrumentation: Activity startActivitySync(Intent,Bundle)>",,,"Start a new activity and wait for it to begin running before returning.
 In addition to being synchronous this method as some semantic
 differences from the standard Context#startActivity call: the
 activity component is resolved before talking with the activity manager
 (its class name is specified in the Intent that this method ultimately
 starts) and it does not allow you to start activities that run in a
 different process.  In addition if the given Intent resolves to
 multiple activities instead of displaying a dialog for the user to
 select an activity an exception will be thrown. The function returns as soon as the activity goes idle following the
 call to its Activity#onCreate .  Generally this means it has gone
 through the full initialization including Activity#onResume and
 drawn and displayed its initial window.",Activity |||,"intent Intent : Description of the activity to start.
This value must never be null . |||
options Bundle : Additional options for how the Activity should be started.
May be null if there are no options.  See ActivityOptions for how to build the Bundle supplied here; there are no supported definitions
for building it manually.
This value may be null . |||",28.0
"<android.telephony.mbms.DownloadProgressListener: void onProgressUpdated(DownloadRequest,FileInfo,int,int,int,int)>",,,Called when the middleware wants to report progress for a file in a DownloadRequest .,void,"request DownloadRequest : a DownloadRequest indicating which download is being referenced. |||
fileInfo FileInfo : a FileInfo specifying the file to report progress on.  Note that
the request may result in many files being downloaded and the client
may not have been able to get a list of them in advance. |||
currentDownloadSize int : is the current amount downloaded. |||
fullDownloadSize int : is the total number of bytes that make up the downloaded content.
This may be different from the decoded final size but is useful in gauging download
progress. |||
currentDecodedSize int : is the number of bytes that have been decoded. |||
fullDecodedSize int : is the total number of bytes that make up the final decoded content. |||",28.0
<android.content.LocusId: int hashCode()>,,,"Returns a hash code value for the object. This method is
 supported for the benefit of hash tables such as those provided by HashMap . The general contract of hashCode is: Whenever it is invoked on the same object more than once during
     an execution of a Java application the hashCode method
     must consistently return the same integer provided no information
     used in equals comparisons on the object is modified.
     This integer need not remain consistent from one execution of an
     application to another execution of the same application. 
If two objects are equal according to the equals(Object) method then calling the hashCode method on each of
     the two objects must produce the same integer result. 
It is not required that if two objects are unequal
     according to the equals(java.lang.Object) method then calling the hashCode method on each of the
     two objects must produce distinct integer results.  However the
     programmer should be aware that producing distinct integer results
     for unequal objects may improve the performance of hash tables. 
As much as is reasonably practical the hashCode method defined by
 class Object does return distinct integers for distinct
 objects. (This is typically implemented by converting the internal
 address of the object into an integer but this implementation
 technique is not required by the
 Java™ programming language.)",int a hash code value for this object. |||,,29.0
"<android.hardware.camera2.CameraDevice: CaptureRequest.Builder createCaptureRequest(int,Set)>",,,"Create a CaptureRequest.Builder for new capture requests
 initialized with template for a target use case. This methods allows
 clients to pass physical camera ids which can be used to customize the
 request for a specific physical camera. The settings are chosen
 to be the best options for the specific logical camera device. If
 additional physical camera ids are passed then they will also use the
 same settings template. Clients can further modify individual camera
 settings by calling CaptureRequest.Builder#setPhysicalCameraKey . Individual physical camera settings will only be honored for camera session
 that was initialiazed with corresponding physical camera id output configuration OutputConfiguration#setPhysicalCameraId and the same output targets are
 also attached in the request by CaptureRequest.Builder#addTarget . The output is undefined for any logical camera streams in case valid physical camera
 settings are attached.","CaptureRequest.Builder a builder for a capture request initialized with default
 settings for that template and no output streams

 This value will never be null . |||","templateType int : An enumeration selecting the use case for this request. Not all template
types are supported on every device. See the documentation for each template type for
details.
Value is TEMPLATE_PREVIEW  TEMPLATE_STILL_CAPTURE  TEMPLATE_RECORD  TEMPLATE_VIDEO_SNAPSHOT  TEMPLATE_ZERO_SHUTTER_LAG or TEMPLATE_MANUAL |||
physicalCameraIdSet Set : A set of physical camera ids that can be used to customize
the request for a specific physical camera. |||",28.0
<android.text.style.TextAppearanceSpan: float getShadowRadius()>,,,Returns the blur radius of the text shadow specified by this span or 0.0f if it does not specify one.,float |||,,29.0
"<android.test.mock.MockContext: boolean bindService(Intent,int,Executor,ServiceConnection)>",,,"Same as bindService(android.content.Intent android.content.ServiceConnection int) with executor to control
 ServiceConnection callbacks.",boolean |||,"service Intent : This value must never be null . |||
flags int : Value is either 0 or a combination of Context.BIND_AUTO_CREATE  Context.BIND_DEBUG_UNBIND  Context.BIND_NOT_FOREGROUND  Context.BIND_ABOVE_CLIENT  Context.BIND_ALLOW_OOM_MANAGEMENT  Context.BIND_WAIVE_PRIORITY  Context.BIND_IMPORTANT  Context.BIND_ADJUST_WITH_ACTIVITY  Context.BIND_NOT_PERCEPTIBLE and Context.BIND_INCLUDE_CAPABILITIES |||
executor Executor : Callbacks on ServiceConnection will be called on executor. Must use same
instance for the same instance of ServiceConnection.
This value must never be null .
Callback and listener events are dispatched through this Executor providing an easy way to control which thread is
used. To dispatch events through the main thread of your
application you can use Context.getMainExecutor() .
To dispatch events through a shared thread pool you can use AsyncTask#THREAD_POOL_EXECUTOR . |||
conn ServiceConnection : This value must never be null . |||",29.0
<android.view.textclassifier.TextLanguage.Request: String getCallingPackageName()>,,,"Returns the name of the package that sent this request.
 This returns null if no calling package name is set.",String |||,,29.0
<android.view.textclassifier.TextLanguage.Request: Bundle getExtras()>,,,Returns a bundle containing non-structured extra information about this request. NOTE: Do not modify this bundle.,Bundle This value will never be null . |||,,29.0
<android.view.textclassifier.TextLinks.TextLinkSpan: void onClick(View)>,,,Performs the click action associated with this span.,void,widget View : This value must never be null . |||,28.0
<android.widget.TextView: void setFallbackLineSpacing(boolean)>,,,"Set whether to respect the ascent and descent of the fallback fonts that are used in
 displaying the text (which is needed to avoid text from consecutive lines running into
 each other). If set fallback fonts that end up getting used can increase the ascent
 and descent of the lines that they are used on. Related XML Attributes: android:fallbackLineSpacing",void,enabled boolean : whether to expand linespacing based on fallback fonts true by default |||,28.0
<android.service.autofill.FillResponse.Builder: FillResponse.Builder setFlags(int)>,,,Sets flags changing the response behavior.,"FillResponse.Builder This builder.
 
 This value will never be null . |||","flags int : a combination of FillResponse.FLAG_TRACK_CONTEXT_COMMITED and FillResponse.FLAG_DISABLE_ACTIVITY_ONLY or 0 .
Value is either 0 or a combination of FillResponse.FLAG_TRACK_CONTEXT_COMMITED and FillResponse.FLAG_DISABLE_ACTIVITY_ONLY |||",28.0
<android.icu.text.Edits.Iterator: boolean findSourceIndex(int)>,,,"Moves the iterator to the edit that contains the source index.
 The source index may be found in a no-change edit
 even if normal iteration would skip no-change edits.
 Normal iteration can continue from a found edit. The iterator state before this search logically does not matter.
 (It may affect the performance of the search.) The iterator state after this search is undefined
 if the source index is out of bounds for the source string.",boolean true if the edit for the source index was found |||,i int : source index |||,29.0
<android.telecom.Connection: void sendRttSessionRemotelyTerminated()>,,,"Informs listeners that a currently active RTT session has been terminated by the remote
 side of the coll.",void,,28.0
"<android.opengl.EGL15: EGLSync eglCreateSync(EGLDisplay,int,long,int)>",,,,EGLSync |||,"dpy EGLDisplay |||
type int |||
attrib_list long |||
offset int |||",29.0
<android.app.admin.DevicePolicyManager: boolean isAffiliatedUser()>,,,"Returns whether this user/profile is affiliated with the device. By definition the user that the device owner runs on is always affiliated with the device.
 Any other user/profile is considered affiliated with the device if the set specified by its
 profile owner via setAffiliationIds(ComponentName Set ) intersects with the device owner's.",boolean |||,,28.0
"<android.net.MacAddress: void writeToParcel(Parcel,int)>",,,Flatten this object in to a Parcel.,void,"out Parcel : The Parcel in which the object should be written. |||
flags int : Additional flags about how the object should be written.
May be 0 or Parcelable.PARCELABLE_WRITE_RETURN_VALUE .
Value is either 0 or a combination of Parcelable.PARCELABLE_WRITE_RETURN_VALUE and android.os.Parcelable.PARCELABLE_ELIDE_DUPLICATES |||",28.0
<android.view.textclassifier.ConversationActions.Request: int describeContents()>,,,"Describe the kinds of special objects contained in this Parcelable
 instance's marshaled representation. For example if the object will
 include a file descriptor in the output of writeToParcel(android.os.Parcel int) the return value of this method must include the CONTENTS_FILE_DESCRIPTOR bit.","int a bitmask indicating the set of special object types marshaled
 by this Parcelable object instance.
 
 Value is either 0 or CONTENTS_FILE_DESCRIPTOR |||",,29.0
<android.view.SurfaceControl.Builder: SurfaceControl.Builder setOpaque(boolean)>,,,"Indicates whether the surface must be considered opaque
 even if its pixel format is set to translucent. This can be useful if an
 application needs full RGBA 8888 support for instance but will
 still draw every pixel opaque. This flag only determines whether opacity will be sampled from the alpha channel.
 Plane-alpha from calls to setAlpha() can still result in blended composition
 regardless of the opaque setting.

 Combined effects are (assuming a buffer format with an alpha channel): OPAQUE + alpha(1.0) == opaque composition 
OPAQUE + alpha(0.x) == blended composition 
OPAQUE + alpha(0.0) == no composition 
!OPAQUE + alpha(1.0) == blended composition 
!OPAQUE + alpha(0.x) == blended composition 
!OPAQUE + alpha(0.0) == no composition",SurfaceControl.Builder This value will never be null . |||,opaque boolean : Whether the Surface is OPAQUE. |||,29.0
<android.net.wifi.rtt.ResponderLocation: int describeContents()>,,,"Describe the kinds of special objects contained in this Parcelable
 instance's marshaled representation. For example if the object will
 include a file descriptor in the output of writeToParcel(android.os.Parcel int) the return value of this method must include the CONTENTS_FILE_DESCRIPTOR bit.","int a bitmask indicating the set of special object types marshaled
 by this Parcelable object instance.
 
 Value is either 0 or CONTENTS_FILE_DESCRIPTOR |||",,29.0
<android.app.slice.SliceProvider: void query()>,,,"Implement this to handle query requests where the arguments are packed into a Bundle .
 Arguments may include traditional SQL style query arguments. When present these
 should be handled  according to the contract established in query(android.net.Uri java.lang.String[] java.lang.String java.lang.String[] java.lang.String android.os.CancellationSignal) . Traditional SQL arguments can be found in the bundle using the following keys:",void,,28.0
<android.view.inspector.WindowInspector: List getGlobalWindowViews()>,,,,"List < View > the list of all window views attached to the current process
 
 This value will never be null . |||",,29.0
"<android.text.PrecomputedText: float getWidth(int,int)>",,,"Returns text width for the given range.
 Both start and end offset need to be in the same paragraph otherwise
 IllegalArgumentException will be thrown.","float the text width
 Value is 0 or greater |||","start int : the inclusive start offset in the text
Value is 0 or greater |||
end int : the exclusive end offset in the text
Value is 0 or greater |||",28.0
<android.webkit.TracingController: void start(TracingConfig)>,,,"Starts tracing all webviews. Depending on the trace mode in traceConfig
 specifies how the trace events are recorded.

 For tracing modes TracingConfig#RECORD_UNTIL_FULL and TracingConfig#RECORD_CONTINUOUSLY the events are recorded
 using an internal buffer and flushed to the outputStream when stop(java.io.OutputStream java.util.concurrent.Executor) is called.",void,"tracingConfig TracingConfig : Configuration options to use for tracing.
This value must never be null . |||",28.0
<android.media.RingtoneManager: boolean hasHapticChannels(Uri)>,,,"Returns if the Ringtone from a given sound URI contains
 haptic channels or not.",boolean true if the ringtone contains haptic channels. |||,"ringtoneUri Uri : The Uri of a sound or ringtone.
This value must never be null . |||",29.0
<android.media.AudioPresentation: int getMasteringIndication()>,,,,"int the mastering indication of the audio presentation.
 See AudioPresentation#MASTERING_NOT_INDICATED  AudioPresentation#MASTERED_FOR_STEREO  AudioPresentation#MASTERED_FOR_SURROUND  AudioPresentation#MASTERED_FOR_3D  AudioPresentation#MASTERED_FOR_HEADPHONE Value is MASTERING_NOT_INDICATED  MASTERED_FOR_STEREO  MASTERED_FOR_SURROUND  MASTERED_FOR_3D or MASTERED_FOR_HEADPHONE |||",,28.0
<android.net.wifi.rtt.ResponderLocation: boolean getRegisteredLocationAgreementIndication()>,,,,"boolean true if the station is operating within a national policy area or an international
 agreement area near a national border otherwise false
 (see 802.11REVmc Section 11.12.3 - Registered STA Operation). Only valid if isLciSubelementValid() returns true or will throw an exception. |||",,29.0
<android.app.usage.UsageStats: long getLastTimeVisible()>,,,"Get the last time this package's activity is visible in the UI measured in milliseconds
 since the epoch.",long |||,,29.0
<android.net.LinkProperties: void setMtu(int)>,,,"Sets the Maximum Transmission Unit size to use on this link.  This should not be used
 unless the system default (1500) is incorrect.  Values less than 68 or greater than
 10000 will be ignored.",void,mtu int : The MTU to use for this link. |||,29.0
<android.telecom.Connection: void onHandoverComplete()>,,,Notifies this Connection that a handover has completed. A handover is initiated with Call.handoverTo(PhoneAccountHandle int Bundle) on the initiating side of the handover and TelecomManager#acceptHandover(Uri int PhoneAccountHandle) .,void,,28.0
"<android.graphics.Bitmap: Bitmap wrapHardwareBuffer(HardwareBuffer,ColorSpace)>",,,"Create a hardware bitmap backed by a HardwareBuffer . The passed HardwareBuffer's usage flags must contain HardwareBuffer#USAGE_GPU_SAMPLED_IMAGE . The bitmap will keep a reference to the buffer so that callers can safely close the
 HardwareBuffer without affecting the Bitmap. However the HardwareBuffer must not be
 modified while a wrapped Bitmap is accessing it. Doing so will result in undefined behavior.",Bitmap A bitmap wrapping the buffer or null if there was a problem creating the bitmap. |||,"hardwareBuffer HardwareBuffer : The HardwareBuffer to wrap.
This value must never be null . |||
colorSpace ColorSpace : The color space of the bitmap. Must be a ColorSpace.Rgb colorspace.
If null SRGB is assumed.
This value may be null . |||",29.0
<android.telephony.RadioAccessSpecifier: int getRadioAccessNetwork()>,,,"Returns the radio access network that needs to be scanned.

 The returned value is define in AccessNetworkConstants.AccessNetworkType ;",int |||,,28.0
<android.media.MediaRecorder: AudioDeviceInfo getRoutedDevice()>,,,"Returns an AudioDeviceInfo identifying the current routing of this MediaRecorder
 Note: The query is only valid if the MediaRecorder is currently recording.
 If the recorder is not recording the returned device can be null or correspond to previously
 selected device when the recorder was last active.",AudioDeviceInfo |||,,28.0
"<android.icu.text.CaseMap.Lower: A apply(Locale,CharSequence,A,Edits)>",,,"Lowercases a string and optionally records edits (see omitUnchangedText() ).
 Casing is locale-dependent and context-sensitive.
 The result may be longer or shorter than the original.",A dest with the result string (or only changes) appended. |||,"locale Locale : The locale ID. Can be null for Locale#getDefault .
(See ULocale#toLocale .) |||
src CharSequence : The original string. |||
dest A : A buffer for the result string. Must not be null. |||
edits Edits : Records edits for index mapping working with styled text
and getting only changes (if any).
This function calls edits.reset() first. edits can be null. |||",29.0
<android.view.InputDevice: boolean isExternal()>,,,"Returns true if the device is external (connected to USB or Bluetooth or some other
 peripheral bus) otherwise it is built-in.",boolean True if the device is external. |||,,29.0
<android.net.MacAddress: MacAddress fromBytes(byte)>,,,"Creates a MacAddress from the given byte array representation.
 A valid byte array representation for a MacAddress is a non-null array of length 6.",MacAddress the MacAddress corresponding to the given byte array representation. |||,"addr byte : a byte array representation of a MAC address.
This value must never be null . |||",28.0
"<android.view.contentcapture.ContentCaptureSession: AutofillId newAutofillId(AutofillId,long)>",,,"Creates a new AutofillId for a virtual child so it can be used to uniquely identify
 the children in the session.","AutofillId if for the virtual child

 This value will never be null . |||","hostId AutofillId : id of the non-virtual view hosting the virtual view hierarchy (it can be
obtained by calling ViewStructure#getAutofillId() ).
This value must never be null . |||
virtualChildId long : id of the virtual child relative to the parent. |||",29.0
<android.content.pm.ApplicationInfo: boolean isProfileableByShell()>,,,"Returns whether or not this application can be profiled by the shell user
 even when running on a device that is running in user mode.",boolean |||,,29.0
<android.telephony.UiccCardInfo: int getSlotIndex()>,,,Gets the slot index for the slot that the UICC is currently inserted in.,int |||,,29.0
<android.view.contentcapture.ContentCaptureManager: boolean isContentCaptureEnabled()>,,,"Checks whether content capture is enabled for this activity. There are many reasons it could be disabled such as: App itself disabled content capture through setContentCaptureEnabled(boolean) . 
Intelligence service did not whitelist content capture for this activity's package. 
Intelligence service did not whitelist content capture for this specific activity. 
Intelligence service disabled content capture globally. 
User disabled content capture globally through the Android Settings app. 
Device manufacturer (OEM) disabled content capture globally. 
Transient errors such as intelligence service package being updated.",boolean |||,,29.0
<android.app.VoiceInteractor: void notifyDirectActionsChanged()>,,,Notifies the assist framework that the direct actions supported by the app changed.,void,,29.0
"<android.view.SurfaceControl.Builder: SurfaceControl.Builder setBufferSize(int,int)>",,,Set the initial size of the controlled surface's buffers in pixels.,SurfaceControl.Builder This value will never be null . |||,"width int : The buffer width in pixels.
Value is 0 or greater |||
height int : The buffer height in pixels.
Value is 0 or greater |||",29.0
"<android.content.ContextWrapper: boolean bindService(Intent,int,Executor,ServiceConnection)>",,,"Same as bindService(android.content.Intent android.content.ServiceConnection int) with executor to control
 ServiceConnection callbacks.",boolean |||,"service Intent : This value must never be null . |||
flags int : Value is either 0 or a combination of Context.BIND_AUTO_CREATE  Context.BIND_DEBUG_UNBIND  Context.BIND_NOT_FOREGROUND  Context.BIND_ABOVE_CLIENT  Context.BIND_ALLOW_OOM_MANAGEMENT  Context.BIND_WAIVE_PRIORITY  Context.BIND_IMPORTANT  Context.BIND_ADJUST_WITH_ACTIVITY  Context.BIND_NOT_PERCEPTIBLE and Context.BIND_INCLUDE_CAPABILITIES |||
executor Executor : Callbacks on ServiceConnection will be called on executor. Must use same
instance for the same instance of ServiceConnection.
This value must never be null .
Callback and listener events are dispatched through this Executor providing an easy way to control which thread is
used. To dispatch events through the main thread of your
application you can use Context.getMainExecutor() .
To dispatch events through a shared thread pool you can use AsyncTask#THREAD_POOL_EXECUTOR . |||
conn ServiceConnection : This value must never be null . |||",29.0
<android.net.wifi.rtt.ResponderLocation: int getExpectedToMove()>,,,,"int an integer representing the mobility of the responder. Only valid if isZaxisSubelementValid() returns true or will throw an exception.
 
 Value is LOCATION_FIXED  LOCATION_VARIABLE  LOCATION_MOVEMENT_UNKNOWN or LOCATION_RESERVED |||",,29.0
<android.telephony.CellSignalStrengthTdscdma: int getRscp()>,,,Get the RSCP as dBm value -120..-24dBm or CellInfo#UNAVAILABLE .,int |||,,29.0
<android.app.admin.DevicePolicyManager: boolean isLogoutEnabled()>,,,Returns whether logout is enabled by a device owner.,boolean true if logout is enabled by device owner false otherwise. |||,,28.0
"<android.graphics.drawable.GradientDrawable: void setColors(int,float)>",,,"Sets the colors and offsets used to draw the gradient. Each color is specified as an ARGB integer and the array must contain at
 least 2 colors. Note : changing colors will affect all instances of a
 drawable loaded from a resource. It is recommended to invoke mutate() before changing the colors.",void,"colors int : an array containing 2 or more ARGB colors
This value may be null . |||
offsets float : optional array of floating point parameters representing the positions
of the colors. Null evenly disperses the colors
This value may be null . |||",29.0
<android.app.ActivityOptions: boolean getLockTaskMode()>,,,Gets whether the activity is to be launched into LockTask mode.,boolean true if the activity is to be launched into LockTask mode. |||,,28.0
<android.telephony.TelephonyManager: String getTypeAllocationCode(int)>,,,"Returns the Type Allocation Code from the IMEI. Return null if Type Allocation Code is not
 available.",String |||,slotIndex int : of which Type Allocation Code is returned |||,29.0
<android.content.pm.SigningInfo: int describeContents()>,,,"Describe the kinds of special objects contained in this Parcelable
 instance's marshaled representation. For example if the object will
 include a file descriptor in the output of writeToParcel(android.os.Parcel int) the return value of this method must include the CONTENTS_FILE_DESCRIPTOR bit.","int a bitmask indicating the set of special object types marshaled
 by this Parcelable object instance.
 
 Value is either 0 or CONTENTS_FILE_DESCRIPTOR |||",,28.0
<android.net.wifi.WifiNetworkSuggestion.Builder: WifiNetworkSuggestion.Builder setIsHiddenSsid(boolean)>,,,Specifies whether this represents a hidden network.,"WifiNetworkSuggestion.Builder Instance of Builder to enable chaining of the builder method.
 
 This value will never be null . |||",isHiddenSsid boolean : true to indicate that the network is hidden false otherwise. |||,29.0
<android.service.notification.ZenPolicy: int getPriorityCategoryCalls()>,,,"Whether this policy wants to allow notifications with category Notification#CATEGORY_CALL to play sounds and visually appear
 or to intercept them when DND is active.  Types of callers that are allowed
 are specified by getPriorityCallSenders() .",int STATE_UNSET  STATE_ALLOW or STATE_DISALLOW Value is STATE_UNSET  STATE_ALLOW or STATE_DISALLOW |||,,29.0
<android.view.contentcapture.ContentCaptureContext: Bundle getExtras()>,,,Gets the (optional) extras set by the app (through Builder#setExtras(Bundle) ). It can be used to provide vendor-specific data that can be modified and examined.,Bundle This value may be null . |||,,29.0
