,Old Annotation,New Annotation,Description,Parameters,Return,ClassDescription,PackageDescription
<android.view.contentcapture.ContentCaptureManager: void setContentCaptureEnabled(boolean)>,NEITHER,NEITHER,"Called by apps to explicitly enable or disable content capture. Note: this call is not persisted accross reboots so apps should typically call
 it on Activity.onCreate(android.os.Bundle android.os.PersistableBundle) .",enabled boolean |||,void,"Content capture is mechanism used to let apps notify the Android system of events associated with
 views.

  Before using this manager you should check if it's available. Example:
  
  ContentCaptureManager mgr = context.getSystemService(ContentCaptureManager.class);
  if (mgr != null && mgr.isContentCaptureEnabled()) {
    // ...
  }
   To support content capture you must notifiy the Android system of the following events:

  When a visible view is laid out call
    ContentCaptureSession#notifyViewAppeared(ViewStructure) .
    When a view becomes invisible or is removed from the view hierarchy call
    ContentCaptureSession#notifyViewDisappeared(android.view.autofill.AutofillId) .
    When the view represents text and the text value changed call  ContentCaptureSession#notifyViewTextChanged(android.view.autofill.AutofillId CharSequence) .
  You can get a blank content capture structure using
  ContentCaptureSession#newViewStructure(View)  then populate its relevant fields.
 Here's an example of the relevant methods for an  EditText -like view:

  
 public class MyEditText extends View {

 private void populateContentCaptureStructure(@NonNull ViewStructure structure) {
   structure.setText(getText() getSelectionStart() getSelectionEnd());
   structure.setHint(getHint());
   structure.setInputType(getInputType());
   // set other properties like setTextIdEntry() setTextLines() setTextStyle()
   // setMinTextEms() setMaxTextEms() setMaxTextLength()
 }

 private void onTextChanged() {
   if (isLaidOut() && isTextEditable()) {
     ContentCaptureManager mgr = mContext.getSystemService(ContentCaptureManager.class);
     if (cm != null && cm.isContentCaptureEnabled()) {
        ContentCaptureSession session = getContentCaptureSession();
        if (session != null) {
          session.notifyViewTextChanged(getAutofillId() getText());
        }
   }
 }
  The main integration point with content capture is the  ContentCaptureSession . A ""main""
 session is automatically created by the Android system when content capture is enabled for the
 activity. The session could have a  ContentCaptureContext  to provide more contextual info
 about it such as the locus associated with the view hierarchy
 (see  LocusId  for more info about locus). By default the main session
 doesn't have a  ContentCaptureContext  but you can change it after its created. Example:

  
 protected void onCreate(Bundle savedInstanceState) {
   // Initialize view structure
   ContentCaptureSession session = rootView.getContentCaptureSession();
   if (session != null) {
     session.setContentCaptureContext(ContentCaptureContext.forLocusId(""chat_UserA_UserB""));
   }
 }
  If your activity contains view hierarchies with a different contextual meaning you should
 created child sessions for each view hierarchy root. For example if your activity is a browser
 you could use the main session for the main URL being rendered then child sessions for each
  IFRAME :

  
 ContentCaptureSession mMainSession;

 protected void onCreate(Bundle savedInstanceState) {
    // Initialize view structure...
    mMainSession = rootView.getContentCaptureSession();
    if (mMainSession != null) {
      mMainSession.setContentCaptureContext(
          ContentCaptureContext.forLocusId(""https://example.com""));
    }
 }

 private void loadIFrame(View iframeRootView String url) {
   if (mMainSession != null) {
      ContentCaptureSession iFrameSession = mMainSession.newChild(
          ContentCaptureContext.forLocusId(url));
      }
      iframeRootView.setContentCaptureSession(iFrameSession);
   }
   // Load iframe...
 }",
<android.view.contentcapture.ContentCaptureSession: void notifyViewAppeared(ViewStructure)>,NEITHER,NEITHER,"Notifies the Content Capture Service that a node has been added to the view structure. Typically called ""manually"" by views that handle their own virtual view hierarchy or
 automatically by the Android System for views that return true on View#onProvideContentCaptureStructure(ViewStructure int) .","node ViewStructure : node that has been added.
This value must never be null . |||",void,Session used when notifying the Android system about events associated with views.,
<android.view.contentcapture.ContentCaptureContext: String toString()>,NEITHER,SOURCE,"Returns a string representation of the object. In general the toString method returns a string that
 ""textually represents"" this object. The result should
 be a concise but informative representation that is easy for a
 person to read.
 It is recommended that all subclasses override this method. The toString method for class Object returns a string consisting of the name of the class of which the
 object is an instance the at-sign character ` @ ' and
 the unsigned hexadecimal representation of the hash code of the
 object. In other words this method returns a string equal to the
 value of:",,String a string representation of the object. |||,"Context associated with a  ContentCaptureSession  - see  ContentCaptureManager  for
 more info.",
<android.hardware.camera2.params.SessionConfiguration: int describeContents()>,NEITHER,SOURCE,"Describe the kinds of special objects contained in this Parcelable
 instance's marshaled representation. For example if the object will
 include a file descriptor in the output of writeToParcel(android.os.Parcel int) the return value of this method must include the CONTENTS_FILE_DESCRIPTOR bit.",,"int a bitmask indicating the set of special object types marshaled
 by this Parcelable object instance.
 
 Value is either 0 or CONTENTS_FILE_DESCRIPTOR |||",A helper class that aggregates all supported arguments for capture session initialization.,"The android.hardware.camera2 package provides an interface to
 individual camera devices connected to an Android device. It replaces
 the deprecated  Camera  class. This package models a camera device as a pipeline which takes in
 input requests for capturing a single frame captures the single image
 per the request and then outputs one capture result metadata packet
 plus a set of output image buffers for the request. The requests are
 processed in-order and multiple requests can be in flight at
 once. Since the camera device is a pipeline with multiple stages
 having multiple requests in flight is required to maintain full
 framerate on most Android devices. To enumerate query and open available camera devices obtain a
  CameraManager  instance. Individual  CameraDevices  provide a set of static property information that
 describes the hardware device and the available settings and output
 parameters for the device. This information is provided through the
  CameraCharacteristics  object and is
 available through  getCameraCharacteristics(String) To capture or stream images from a camera device the application
 must first create a  camera capture session 
 with a set of output Surfaces for use with the camera device with
  createCaptureSession(SessionConfiguration) . Each
 Surface has to be pre-configured with an  appropriate
 size and format  (if applicable) to match the sizes and formats
 available from the camera device. A target Surface can be obtained
 from a variety of classes including  SurfaceView 
  SurfaceTexture  via
  Surface(SurfaceTexture) 
  MediaCodec   MediaRecorder 
  Allocation  and  ImageReader .
  Generally camera preview images are sent to  SurfaceView  or  TextureView  (via its
  SurfaceTexture ). Capture of JPEG images or
 RAW buffers for  DngCreator  can be
 done with  ImageReader  with the  JPEG  and  RAW_SENSOR  formats.  Application-driven
 processing of camera data in RenderScript OpenGL ES or directly in
 managed or native code is best done through  Allocation  with a YUV  Type   SurfaceTexture 
 and  ImageReader  with a  YUV_420_888  format respectively. The application then needs to construct a  CaptureRequest  which defines all the
 capture parameters needed by a camera device to capture a single
 image. The request also lists which of the configured output Surfaces
 should be used as targets for this capture. The CameraDevice has a
  factory method  for creating a  request builder  for a
 given use case which is optimized for the Android device the
 application is running on. Once the request has been set up it can be handed to the active
 capture session either for a one-shot  capture  or for
 an endlessly  repeating  use. Both methods also have a variant that accepts a list
 of requests to use as a burst capture / repeating burst. Repeating
 requests have a lower priority than captures so a request submitted
 through  capture()  while there's a repeating request
 configured will be captured before any new instances of the currently
 repeating (burst) capture will begin capture. After processing a request the camera device will produce a  TotalCaptureResult  object which contains
 information about the state of the camera device at time of capture
 and the final settings used. These may vary somewhat from the request
 if rounding or resolving contradictory parameters was necessary. The
 camera device will also send a frame of image data into each of the
 output  Surfaces  included in the request. These are produced
 asynchronously relative to the output CaptureResult sometimes
 substantially later."
<android.media.session.MediaController.PlaybackInfo: int describeContents()>,SOURCE,SOURCE,"Describe the kinds of special objects contained in this Parcelable
 instance's marshaled representation. For example if the object will
 include a file descriptor in the output of writeToParcel(android.os.Parcel int) the return value of this method must include the CONTENTS_FILE_DESCRIPTOR bit.",,"int a bitmask indicating the set of special object types marshaled
 by this Parcelable object instance.
 
 Value is either 0 or CONTENTS_FILE_DESCRIPTOR |||","Holds information about the current playback and how audio is handled for
 this session.","The Media APIs are used to play and in some cases record media files. This includes
 audio (e.g. play MP3s or other music files ringtones game sound effects or DTMF tones)
 and video (e.g. play a video streamed over the web or from local storage).
  Other special classes in the package offer the ability to detect the faces of people
 in Bitmaps ( FaceDetector ) control audio routing (to the device or a headset)
 and control alerts such as ringtones and phone vibrations ( AudioManager )."
<android.net.wifi.rtt.ResponderLocation: int describeContents()>,SOURCE,SOURCE,"Describe the kinds of special objects contained in this Parcelable
 instance's marshaled representation. For example if the object will
 include a file descriptor in the output of writeToParcel(android.os.Parcel int) the return value of this method must include the CONTENTS_FILE_DESCRIPTOR bit.",,"int a bitmask indicating the set of special object types marshaled
 by this Parcelable object instance.
 
 Value is either 0 or CONTENTS_FILE_DESCRIPTOR |||","ResponderLocation is both a Location Configuration Information (LCI) decoder and a Location Civic
 Report (LCR) decoder for information received from a Wi-Fi Access Point (AP) during Wi-Fi RTT
 ranging process.

  This is based on the IEEE P802.11-REVmc/D8.0 spec section 9.4.2.22 under Measurement Report
 Element. Subelement location data-fields parsed from separate input LCI and LCR Information
 Elements are unified in this class. Note: The information provided by this class is broadcast by a responder (usually an Access
 Point) and passed on as-is. There is no guarantee this information is accurate or correct and
 as a result developers should carefully consider how this information should be used and provide
 corresponding advice to users.","Provides classes which allow applications to use Wi-Fi RTT (IEEE 802.11mc) to measure distance
     to supporting Access Points and peer devices. The primary entry point to Wi-Fi RTT capabilities is the
      WifiRttManager  class which is acquired by calling
      Context.getSystemService(Context.WIFI_RTT_RANGING_SERVICE) Some APIs may require the following user permissions: ACCESS_WIFI_STATE CHANGE_WIFI_STATE ACCESS_FINE_LOCATION Usage of the API is also gated by the device's Location Mode: whether it permits Wi-Fi based
 location to be queried. Note:  Not all Android-powered devices support Wi-Fi RTT
     functionality.
     If your application only works with Wi-Fi RTT (i.e. it should only be installed on devices which
     support Wi-Fi RTT) declare so with a  <uses-feature> 
     element in the manifest file: 
 <manifest ...>
     <uses-feature android:name=""android.hardware.wifi.rtt"" />
     ...
 </manifest>
  Alternatively if your application does not require Wi-Fi RTT but can take advantage of it if
     available you can perform
     the check at run-time in your code using  hasSystemFeature(String)  with  FEATURE_WIFI_RTT : 
     getPackageManager().hasSystemFeature(PackageManager.FEATURE_WIFI_RTT)"
<android.service.autofill.TextValueSanitizer: int describeContents()>,NEITHER,NEITHER,"Describe the kinds of special objects contained in this Parcelable
 instance's marshaled representation. For example if the object will
 include a file descriptor in the output of writeToParcel(android.os.Parcel int) the return value of this method must include the CONTENTS_FILE_DESCRIPTOR bit.",,"int a bitmask indicating the set of special object types marshaled
 by this Parcelable object instance.
 
 Value is either 0 or CONTENTS_FILE_DESCRIPTOR |||","Sanitizes a text  AutofillValue  using a regular expression (regex) substitution.

  For example to remove spaces from groups of 4-digits in a credit card:

  
 new TextValueSanitizer(Pattern.compile(""^(\\d{4})\\s?(\\d{4})\\s?(\\d{4})\\s?(\\d{4})$"")
     ""$1$2$3$4"")",
<android.telephony.mbms.FileServiceInfo: int describeContents()>,SOURCE,SOURCE,"Describe the kinds of special objects contained in this Parcelable
 instance's marshaled representation. For example if the object will
 include a file descriptor in the output of writeToParcel(android.os.Parcel int) the return value of this method must include the CONTENTS_FILE_DESCRIPTOR bit.",,"int a bitmask indicating the set of special object types marshaled
 by this Parcelable object instance.
 
 Value is either 0 or CONTENTS_FILE_DESCRIPTOR |||","Describes a file service available from the carrier from which files can be downloaded via
 cell-broadcast.",
<android.telephony.CellInfoTdscdma: int describeContents()>,SOURCE,SOURCE,Implement the Parcelable interface,,"int a bitmask indicating the set of special object types marshaled
 by this Parcelable object instance.
 
 Value is either 0 or CONTENTS_FILE_DESCRIPTOR |||",A  CellInfo  representing a TD-SCDMA cell that provides identity and measurement info.,
<android.telephony.mbms.FileInfo: int describeContents()>,NEITHER,SOURCE,"Describe the kinds of special objects contained in this Parcelable
 instance's marshaled representation. For example if the object will
 include a file descriptor in the output of writeToParcel(android.os.Parcel int) the return value of this method must include the CONTENTS_FILE_DESCRIPTOR bit.",,"int a bitmask indicating the set of special object types marshaled
 by this Parcelable object instance.
 
 Value is either 0 or CONTENTS_FILE_DESCRIPTOR |||",Describes a single file that is available over MBMS.,
<android.service.autofill.UserData: int describeContents()>,NEITHER,SOURCE,"Describe the kinds of special objects contained in this Parcelable
 instance's marshaled representation. For example if the object will
 include a file descriptor in the output of writeToParcel(android.os.Parcel int) the return value of this method must include the CONTENTS_FILE_DESCRIPTOR bit.",,"int a bitmask indicating the set of special object types marshaled
 by this Parcelable object instance.
 
 Value is either 0 or CONTENTS_FILE_DESCRIPTOR |||","Defines the user data used for
  field classification .",
<android.telephony.AvailableNetworkInfo: int describeContents()>,SOURCE,SOURCE,"Describe the kinds of special objects contained in this Parcelable
 instance's marshaled representation. For example if the object will
 include a file descriptor in the output of writeToParcel(android.os.Parcel int) the return value of this method must include the CONTENTS_FILE_DESCRIPTOR bit.",,"int a bitmask indicating the set of special object types marshaled
 by this Parcelable object instance.
 
 Value is either 0 or CONTENTS_FILE_DESCRIPTOR |||","Defines available network information which includes corresponding subscription id
 network plmns and corresponding priority to be used for network selection by Opportunistic
 Network Service when passed through  TelephonyManager#updateAvailableNetworks",
<android.view.textclassifier.ConversationActions.Message: int describeContents()>,NEITHER,SOURCE,"Describe the kinds of special objects contained in this Parcelable
 instance's marshaled representation. For example if the object will
 include a file descriptor in the output of writeToParcel(android.os.Parcel int) the return value of this method must include the CONTENTS_FILE_DESCRIPTOR bit.",,"int a bitmask indicating the set of special object types marshaled
 by this Parcelable object instance.
 
 Value is either 0 or CONTENTS_FILE_DESCRIPTOR |||",Represents a message in the conversation.,
<android.service.autofill.DateTransformation: int describeContents()>,NEITHER,NEITHER,"Describe the kinds of special objects contained in this Parcelable
 instance's marshaled representation. For example if the object will
 include a file descriptor in the output of writeToParcel(android.os.Parcel int) the return value of this method must include the CONTENTS_FILE_DESCRIPTOR bit.",,"int a bitmask indicating the set of special object types marshaled
 by this Parcelable object instance.
 
 Value is either 0 or CONTENTS_FILE_DESCRIPTOR |||","Replaces a  TextView  child of a  CustomDescription  with the contents of a field
 that is expected to have a  AutofillValue#forDate(long) .

  For example a transformation to display a credit card expiration date as month/year would be:

  
 new DateTransformation(ccExpDate new java.text.SimpleDateFormat(""MM/yyyy"")",
<android.net.IpSecAlgorithm: int describeContents()>,NEITHER,SOURCE,"Describe the kinds of special objects contained in this Parcelable
 instance's marshaled representation. For example if the object will
 include a file descriptor in the output of writeToParcel(android.os.Parcel int) the return value of this method must include the CONTENTS_FILE_DESCRIPTOR bit.",,"int a bitmask indicating the set of special object types marshaled
 by this Parcelable object instance.
 
 Value is either 0 or CONTENTS_FILE_DESCRIPTOR |||",This class represents a single algorithm that can be used by an  IpSecTransform .,
<android.view.textclassifier.TextClassifier.EntityConfig: int describeContents()>,NEITHER,NEITHER,"Describe the kinds of special objects contained in this Parcelable
 instance's marshaled representation. For example if the object will
 include a file descriptor in the output of writeToParcel(android.os.Parcel int) the return value of this method must include the CONTENTS_FILE_DESCRIPTOR bit.",,"int a bitmask indicating the set of special object types marshaled
 by this Parcelable object instance.
 
 Value is either 0 or CONTENTS_FILE_DESCRIPTOR |||","Configuration object for specifying what entity types to identify.

 Configs are initially based on a predefined preset and can be modified from there.",
<android.view.textclassifier.TextClassifierEvent: int describeContents()>,NEITHER,NEITHER,"Describe the kinds of special objects contained in this Parcelable
 instance's marshaled representation. For example if the object will
 include a file descriptor in the output of writeToParcel(android.os.Parcel int) the return value of this method must include the CONTENTS_FILE_DESCRIPTOR bit.",,"int a bitmask indicating the set of special object types marshaled
 by this Parcelable object instance.
 
 Value is either 0 or CONTENTS_FILE_DESCRIPTOR |||","This class represents events that are sent by components to the  TextClassifier  to report
 something of note that relates to a feature powered by the TextClassifier. The TextClassifier may
 log these events or use them to improve future responses to queries.
  
 Each category of events has its their own subclass. Events of each type have an associated
 set of related properties. You can find their specification in the subclasses.",
<android.net.wifi.rtt.RangingRequest: int describeContents()>,NEITHER,SOURCE,"Describe the kinds of special objects contained in this Parcelable
 instance's marshaled representation. For example if the object will
 include a file descriptor in the output of writeToParcel(android.os.Parcel int) the return value of this method must include the CONTENTS_FILE_DESCRIPTOR bit.",,"int a bitmask indicating the set of special object types marshaled
 by this Parcelable object instance.
 
 Value is either 0 or CONTENTS_FILE_DESCRIPTOR |||","Defines the ranging request to other devices. The ranging request is built using
  RangingRequest.Builder .
 A ranging request is executed using
  WifiRttManager#startRanging(RangingRequest java.util.concurrent.Executor RangingResultCallback) .
  
 The ranging request is a batch request - specifying a set of devices (specified using
  RangingRequest.Builder#addAccessPoint(ScanResult)  and
  RangingRequest.Builder#addAccessPoints(List) ).","Provides classes which allow applications to use Wi-Fi RTT (IEEE 802.11mc) to measure distance
     to supporting Access Points and peer devices. The primary entry point to Wi-Fi RTT capabilities is the
      WifiRttManager  class which is acquired by calling
      Context.getSystemService(Context.WIFI_RTT_RANGING_SERVICE) Some APIs may require the following user permissions: ACCESS_WIFI_STATE CHANGE_WIFI_STATE ACCESS_FINE_LOCATION Usage of the API is also gated by the device's Location Mode: whether it permits Wi-Fi based
 location to be queried. Note:  Not all Android-powered devices support Wi-Fi RTT
     functionality.
     If your application only works with Wi-Fi RTT (i.e. it should only be installed on devices which
     support Wi-Fi RTT) declare so with a  <uses-feature> 
     element in the manifest file: 
 <manifest ...>
     <uses-feature android:name=""android.hardware.wifi.rtt"" />
     ...
 </manifest>
  Alternatively if your application does not require Wi-Fi RTT but can take advantage of it if
     available you can perform
     the check at run-time in your code using  hasSystemFeature(String)  with  FEATURE_WIFI_RTT : 
     getPackageManager().hasSystemFeature(PackageManager.FEATURE_WIFI_RTT)"
<android.view.SurfaceControl: int describeContents()>,NEITHER,SOURCE,"Describe the kinds of special objects contained in this Parcelable
 instance's marshaled representation. For example if the object will
 include a file descriptor in the output of writeToParcel(android.os.Parcel int) the return value of this method must include the CONTENTS_FILE_DESCRIPTOR bit.",,"int a bitmask indicating the set of special object types marshaled
 by this Parcelable object instance.
 
 Value is either 0 or CONTENTS_FILE_DESCRIPTOR |||","Handle onto a raw buffer that is being managed by the screen compositor.

  A Surface is generally created by or from a consumer of image buffers (such as a
  SurfaceTexture   MediaRecorder  or
  Allocation ) and is handed to some kind of producer (such as
  OpenGL 
  MediaPlayer  or
  CameraDevice ) to draw
 into. Note:  A Surface acts like a
  weak reference  to the consumer it is associated with. By
 itself it will not keep its parent consumer from being reclaimed.",
<android.service.autofill.CustomDescription: int describeContents()>,NEITHER,NEITHER,"Describe the kinds of special objects contained in this Parcelable
 instance's marshaled representation. For example if the object will
 include a file descriptor in the output of writeToParcel(android.os.Parcel int) the return value of this method must include the CONTENTS_FILE_DESCRIPTOR bit.",,"int a bitmask indicating the set of special object types marshaled
 by this Parcelable object instance.
 
 Value is either 0 or CONTENTS_FILE_DESCRIPTOR |||","Defines a custom description for the autofill save UI.

  This is useful when the autofill service needs to show a detailed view of what would be saved;
 for example when the screen contains a credit card it could display a logo of the credit card
 bank the last four digits of the credit card number and its expiration number.

  A custom description is made of 2 parts:
  A  RemoteViews  containing children views.
    Transformation  to populate the children views.
  For the credit card example mentioned above the (simplified) template would be:

  
 <LinearLayout>
   <ImageView android:id=""@+id/templateccLogo""/>
   <TextView android:id=""@+id/templateCcNumber""/>
   <TextView android:id=""@+id/templateExpDate""/>
 </LinearLayout>
  Which in code translates to:

  
   CustomDescription.Builder buider = new Builder(new RemoteViews(pgkName R.layout.cc_template);
  Then the value of each of the 3 children would be changed at runtime based on the the value of
 the screen fields and the  Transformation :

  
 // Image child - different logo for each bank based on credit card prefix
 builder.addChild(R.id.templateccLogo
   new ImageTransformation.Builder(ccNumberId)
     .addOption(Pattern.compile(""^4815.*$"") R.drawable.ic_credit_card_logo1)
     .addOption(Pattern.compile(""^1623.*$"") R.drawable.ic_credit_card_logo2)
     .addOption(Pattern.compile(""^42.*$"") R.drawable.ic_credit_card_logo3)
     .build();
 // Masked credit card number (as .....LAST_4_DIGITS)
 builder.addChild(R.id.templateCcNumber new CharSequenceTransformation
     .Builder(ccNumberId Pattern.compile(""^.*(\\d\\d\\d\\d)$"") ""...$1"")
     .build();
 // Expiration date as MM / YYYY:
 builder.addChild(R.id.templateExpDate new CharSequenceTransformation
     .Builder(ccExpMonthId Pattern.compile(""^(\\d\\d)$"") ""Exp: $1"")
     .addField(ccExpYearId Pattern.compile(""^(\\d\\d)$"") ""/$1"")
     .build();
  See  ImageTransformation   CharSequenceTransformation  for more info about these
 transformations.",
<android.view.textclassifier.TextClassification: int describeContents()>,NEITHER,NEITHER,"Describe the kinds of special objects contained in this Parcelable
 instance's marshaled representation. For example if the object will
 include a file descriptor in the output of writeToParcel(android.os.Parcel int) the return value of this method must include the CONTENTS_FILE_DESCRIPTOR bit.",,"int a bitmask indicating the set of special object types marshaled
 by this Parcelable object instance.
 
 Value is either 0 or CONTENTS_FILE_DESCRIPTOR |||","Information for generating a widget to handle classified text.

  A TextClassification object contains icons labels onClickListeners and intents that may
 be used to build a widget that can be used to act on classified text. There is the concept of a
  primary action  and other  secondary actions .

  e.g. building a view that when clicked shares the classified text with the preferred app:

  // Called preferably outside the UiThread.
   TextClassification classification = textClassifier.classifyText(allText 10 25);

   // Called on the UiThread.
   Button button = new Button(context);
   button.setCompoundDrawablesWithIntrinsicBounds(classification.getIcon() null null null);
   button.setText(classification.getLabel());
   button.setOnClickListener(v -> classification.getActions().get(0).getActionIntent().send());
  e.g. starting an action mode with menu items that can handle the classified text:

  // Called preferably outside the UiThread.
   final TextClassification classification = textClassifier.classifyText(allText 10 25);

   // Called on the UiThread.
   view.startActionMode(new ActionMode.Callback() {

       public boolean onCreateActionMode(ActionMode mode Menu menu) {
           for (int i = 0; i < classification.getActions().size(); ++i) {
              RemoteAction action = classification.getActions().get(i);
              menu.add(Menu.NONE i 20 action.getTitle())
                 .setIcon(action.getIcon());
           }
           return true;
       }

       public boolean onActionItemClicked(ActionMode mode MenuItem item) {
           classification.getActions().get(item.getItemId()).getActionIntent().send();
           return true;
       }

       ...
   });",
<android.telephony.euicc.DownloadableSubscription: int describeContents()>,NEITHER,SOURCE,"Describe the kinds of special objects contained in this Parcelable
 instance's marshaled representation. For example if the object will
 include a file descriptor in the output of writeToParcel(android.os.Parcel int) the return value of this method must include the CONTENTS_FILE_DESCRIPTOR bit.",,"int a bitmask indicating the set of special object types marshaled
 by this Parcelable object instance.
 
 Value is either 0 or CONTENTS_FILE_DESCRIPTOR |||","Information about a subscription which is downloadable to an eUICC using
  EuiccManager#downloadSubscription(DownloadableSubscription boolean PendingIntent)",
